Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1R_S1_R1_001	(12.0, 1.0)	(13.0, 2.0)	(14.0, 53.0)	(15.0, 364.0)	(16.0, 1448.0)	(17.0, 2905.0)	(18.0, 3759.0)	(19.0, 5196.0)	(20.0, 8576.0)	(21.0, 13175.0)	(22.0, 21907.0)	(23.0, 41002.0)	(24.0, 76333.0)	(25.0, 142291.0)	(26.0, 246674.0)	(27.0, 419838.0)	(28.0, 650869.0)	(29.0, 972198.0)	(30.0, 1359011.0)	(31.0, 1877491.0)	(32.0, 2532242.0)	(33.0, 3924146.0)	(34.0, 7194525.0)	(35.0, 13771277.0)	(36.0, 78430631.0)	(37.0, 3033088.0)	
1R_S1_R2_001	(11.0, 303.0)	(12.0, 5029.0)	(13.0, 10090.0)	(14.0, 10346.0)	(15.0, 9431.0)	(16.0, 9403.0)	(17.0, 11439.0)	(18.0, 17830.0)	(19.0, 29054.0)	(20.0, 42781.0)	(21.0, 61104.0)	(22.0, 78554.0)	(23.0, 110669.0)	(24.0, 163605.0)	(25.0, 241569.0)	(26.0, 330907.0)	(27.0, 465070.0)	(28.0, 626332.0)	(29.0, 853472.0)	(30.0, 1150140.0)	(31.0, 1595518.0)	(32.0, 2228116.0)	(33.0, 3469007.0)	(34.0, 6303834.0)	(35.0, 16340954.0)	(36.0, 76333647.0)	(37.0, 4230798.0)
20R_S20_R1_001	(13.0, 7.0)	(14.0, 164.0)	(15.0, 750.0)	(16.0, 3108.0)	(17.0, 5992.0)	(18.0, 5500.0)	(19.0, 4765.0)	(20.0, 5314.0)	(21.0, 7377.0)	(22.0, 11551.0)	(23.0, 21460.0)	(24.0, 39253.0)	(25.0, 71168.0)	(26.0, 120658.0)	(27.0, 202386.0)	(28.0, 312899.0)	(29.0, 468369.0)	(30.0, 654105.0)	(31.0, 903081.0)	(32.0, 1203541.0)	(33.0, 1883077.0)	(34.0, 3435286.0)	(35.0, 6247506.0)	(36.0, 39751217.0)	(37.0, 1763837.0)		
20R_S20_R2_001	(11.0, 106.0)	(12.0, 1816.0)	(13.0, 3468.0)	(14.0, 3551.0)	(15.0, 3448.0)	(16.0, 4375.0)	(17.0, 6566.0)	(18.0, 10245.0)	(19.0, 14054.0)	(20.0, 16746.0)	(21.0, 20992.0)	(22.0, 28727.0)	(23.0, 49320.0)	(24.0, 85493.0)	(25.0, 138190.0)	(26.0, 195542.0)	(27.0, 271080.0)	(28.0, 360629.0)	(29.0, 483016.0)	(30.0, 633429.0)	(31.0, 857146.0)	(32.0, 1167305.0)	(33.0, 1787211.0)	(34.0, 3249963.0)	(35.0, 8699681.0)	(36.0, 37171063.0)	(37.0, 1859209.0)
21R_S21_R1_001	(13.0, 9.0)	(14.0, 102.0)	(15.0, 348.0)	(16.0, 1072.0)	(17.0, 2293.0)	(18.0, 2255.0)	(19.0, 2212.0)	(20.0, 2937.0)	(21.0, 4388.0)	(22.0, 8419.0)	(23.0, 18199.0)	(24.0, 36640.0)	(25.0, 69872.0)	(26.0, 120951.0)	(27.0, 204738.0)	(28.0, 320304.0)	(29.0, 482136.0)	(30.0, 678777.0)	(31.0, 936821.0)	(32.0, 1250036.0)	(33.0, 1861665.0)	(34.0, 3254493.0)	(35.0, 6714725.0)	(36.0, 40725817.0)	(37.0, 1370987.0)		
21R_S21_R2_001	(11.0, 109.0)	(12.0, 1561.0)	(13.0, 3455.0)	(14.0, 3746.0)	(15.0, 3411.0)	(16.0, 3375.0)	(17.0, 4483.0)	(18.0, 7770.0)	(19.0, 11715.0)	(20.0, 14554.0)	(21.0, 18982.0)	(22.0, 27018.0)	(23.0, 48020.0)	(24.0, 82393.0)	(25.0, 126345.0)	(26.0, 174932.0)	(27.0, 241377.0)	(28.0, 321028.0)	(29.0, 436951.0)	(30.0, 584369.0)	(31.0, 810905.0)	(32.0, 1130319.0)	(33.0, 1759697.0)	(34.0, 3185278.0)	(35.0, 8463420.0)	(36.0, 39341429.0)	(37.0, 1263554.0)
22R_S22_R1_001	(13.0, 6.0)	(14.0, 101.0)	(15.0, 495.0)	(16.0, 1945.0)	(17.0, 3850.0)	(18.0, 4155.0)	(19.0, 4494.0)	(20.0, 4862.0)	(21.0, 5295.0)	(22.0, 7258.0)	(23.0, 13273.0)	(24.0, 25506.0)	(25.0, 49226.0)	(26.0, 85164.0)	(27.0, 143907.0)	(28.0, 222532.0)	(29.0, 333300.0)	(30.0, 465218.0)	(31.0, 662413.0)	(32.0, 1021083.0)	(33.0, 2012240.0)	(34.0, 2574323.0)	(35.0, 4420624.0)	(36.0, 23955511.0)	(37.0, 1010525.0)		
22R_S22_R2_001	(11.0, 59.0)	(12.0, 977.0)	(13.0, 2030.0)	(14.0, 2467.0)	(15.0, 2711.0)	(16.0, 3457.0)	(17.0, 5247.0)	(18.0, 9847.0)	(19.0, 15431.0)	(20.0, 18424.0)	(21.0, 21976.0)	(22.0, 27084.0)	(23.0, 40239.0)	(24.0, 62658.0)	(25.0, 94649.0)	(26.0, 132789.0)	(27.0, 188826.0)	(28.0, 248430.0)	(29.0, 330027.0)	(30.0, 431171.0)	(31.0, 583940.0)	(32.0, 801349.0)	(33.0, 1256889.0)	(34.0, 2403621.0)	(35.0, 6043657.0)	(36.0, 23370382.0)	(37.0, 928969.0)
23R_S94_R1_001	(13.0, 2.0)	(14.0, 29.0)	(15.0, 209.0)	(16.0, 921.0)	(17.0, 1759.0)	(18.0, 1981.0)	(19.0, 2938.0)	(20.0, 5469.0)	(21.0, 9594.0)	(22.0, 15636.0)	(23.0, 26753.0)	(24.0, 46396.0)	(25.0, 80766.0)	(26.0, 132515.0)	(27.0, 217594.0)	(28.0, 331434.0)	(29.0, 494719.0)	(30.0, 703528.0)	(31.0, 1177642.0)	(32.0, 2098793.0)	(33.0, 2078184.0)	(34.0, 3083802.0)	(35.0, 6123193.0)	(36.0, 39375482.0)	(37.0, 1540584.0)		
23R_S94_R2_001	(11.0, 144.0)	(12.0, 1598.0)	(13.0, 3036.0)	(14.0, 3305.0)	(15.0, 3099.0)	(16.0, 3295.0)	(17.0, 4588.0)	(18.0, 7557.0)	(19.0, 13822.0)	(20.0, 19679.0)	(21.0, 26387.0)	(22.0, 38616.0)	(23.0, 69542.0)	(24.0, 117868.0)	(25.0, 178355.0)	(26.0, 240688.0)	(27.0, 326880.0)	(28.0, 425330.0)	(29.0, 558235.0)	(30.0, 726006.0)	(31.0, 986238.0)	(32.0, 1358182.0)	(33.0, 2138899.0)	(34.0, 3985635.0)	(35.0, 10838211.0)	(36.0, 34631298.0)	(37.0, 843430.0)
24R_S23_R1_001	(13.0, 21.0)	(14.0, 217.0)	(15.0, 593.0)	(16.0, 1573.0)	(17.0, 3328.0)	(18.0, 3901.0)	(19.0, 4342.0)	(20.0, 5389.0)	(21.0, 7064.0)	(22.0, 10810.0)	(23.0, 20075.0)	(24.0, 38457.0)	(25.0, 73202.0)	(26.0, 128927.0)	(27.0, 221158.0)	(28.0, 347246.0)	(29.0, 526703.0)	(30.0, 756190.0)	(31.0, 1079783.0)	(32.0, 1499858.0)	(33.0, 2330312.0)	(34.0, 4123948.0)	(35.0, 9070586.0)	(36.0, 41535432.0)	(37.0, 828280.0)		
24R_S23_R2_001	(11.0, 181.0)	(12.0, 2151.0)	(13.0, 3959.0)	(14.0, 3800.0)	(15.0, 3605.0)	(16.0, 3955.0)	(17.0, 5494.0)	(18.0, 9100.0)	(19.0, 15244.0)	(20.0, 20248.0)	(21.0, 24263.0)	(22.0, 30688.0)	(23.0, 46550.0)	(24.0, 73554.0)	(25.0, 118075.0)	(26.0, 174814.0)	(27.0, 260533.0)	(28.0, 364334.0)	(29.0, 512855.0)	(30.0, 699268.0)	(31.0, 983317.0)	(32.0, 1382612.0)	(33.0, 2174187.0)	(34.0, 3992726.0)	(35.0, 10497791.0)	(36.0, 39375850.0)	(37.0, 1838241.0)
