.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
88R_S85_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
88R_S85_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
89R_S86_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
89R_S86_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
8R_S7_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
8R_S7_R2_001	1	0.25	1	1	0.5	0.5	1	1	0.25	0.5	0.25
90R_S87_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
90R_S87_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
91R_S88_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
91R_S88_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	0.25
92R_S89_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
92R_S89_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
93R_S90_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
93R_S90_R2_001	1	0.25	1	1	0.5	0.25	1	1	0.25	0.5	0.25
94R_S91_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
94R_S91_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	0.25
95R_S92_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
95R_S92_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
96R_S93_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
96R_S93_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
9R_S9_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
9R_S9_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
