Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
21R_S21_R1_001	(1.0, 4.560226968683393)	(2.0, 1.420631586223339)	(3.0, 0.8132344782819344)	(4.0, 0.5897778657641668)	(5.0, 0.48254537040213497)	(6.0, 0.42216781139909)	(7.0, 0.3783145230774319)	(8.0, 0.35365129119847083)	(9.0, 0.29839871430393505)	('>10', 6.09070553741064)	('>50', 3.6640559559856065)	('>100', 11.889655529957718)	('>500', 6.803776296436024)	('>1k', 19.01562458089919)	('>5k', 9.358056874538155)	('>10k+', 33.8591766154388)
21R_S21_R2_001	(1.0, 5.493550797219276)	(2.0, 1.4446263630974832)	(3.0, 0.8161320174213074)	(4.0, 0.584622000792177)	(5.0, 0.5082106608589694)	(6.0, 0.41705265742999026)	(7.0, 0.40290008958243884)	(8.0, 0.3410011949242546)	(9.0, 0.31436075641786343)	('>10', 6.728645079864656)	('>50', 4.055573375852097)	('>100', 13.29769317671244)	('>500', 7.557378958741705)	('>1k', 21.576434940838784)	('>5k', 9.678045055163887)	('>10k+', 26.783772875082583)
22R_S22_R1_001	(1.0, 3.518251002459796)	(2.0, 1.2908720836829601)	(3.0, 0.7576613783031256)	(4.0, 0.5772903019658039)	(5.0, 0.44093380514039276)	(6.0, 0.40845556072799155)	(7.0, 0.34099446514984083)	(8.0, 0.30890424584328047)	(9.0, 0.28796368598726385)	('>10', 5.7261418467025464)	('>50', 3.619240383893791)	('>100', 12.322733066243728)	('>500', 7.427441622399769)	('>1k', 21.895194912921927)	('>5k', 10.773530492654281)	('>10k+', 30.304391145923486)
22R_S22_R2_001	(1.0, 5.382625024224933)	(2.0, 1.3815896771429887)	(3.0, 0.8226628872293253)	(4.0, 0.5941509058199607)	(5.0, 0.5071146800645602)	(6.0, 0.4304182068577812)	(7.0, 0.37608452877055776)	(8.0, 0.3294978233467361)	(9.0, 0.33061092663644875)	('>10', 6.491399195899791)	('>50', 4.029473050363993)	('>100', 14.25316193186896)	('>500', 8.853848314905045)	('>1k', 26.382583542321054)	('>5k', 11.84938863272887)	('>10k+', 17.985390671819047)
23R_S94_R1_001	(1.0, 3.519857627725452)	(2.0, 1.9217628025136282)	(3.0, 1.6705197412520685)	(4.0, 1.4558474001963888)	(5.0, 1.269600513361613)	(6.0, 1.1631464992884328)	(7.0, 1.0362209637066684)	(8.0, 0.9587939556584508)	(9.0, 0.818798061346907)	('>10', 11.598878654361007)	('>50', 5.347270814001283)	('>100', 16.278635816990473)	('>500', 8.672536950191999)	('>1k', 20.546435798124914)	('>5k', 7.644162919905398)	('>10k+', 16.097531481375206)
23R_S94_R2_001	(1.0, 6.070841637994194)	(2.0, 2.1091603862884267)	(3.0, 1.7802232480749165)	(4.0, 1.4182824769616056)	(5.0, 1.1752850043300538)	(6.0, 0.9933415899106346)	(7.0, 0.9042797159230195)	(8.0, 0.8498950614311462)	(9.0, 0.7535330660292814)	('>10', 12.931732155896894)	('>50', 6.336204812852256)	('>100', 20.12950723137305)	('>500', 10.027837439584731)	('>1k', 20.989932833553244)	('>5k', 5.859681405567676)	('>10k+', 7.670261934228825)
24R_S23_R1_001	(1.0, 7.616327509941017)	(2.0, 2.5780985374694176)	(3.0, 1.4189081965238939)	(4.0, 0.9417807056747789)	(5.0, 0.7273684581044657)	(6.0, 0.6317947796747283)	(7.0, 0.5654721201054805)	(8.0, 0.5324390441250394)	(9.0, 0.46181902031808325)	('>10', 9.403021229623763)	('>50', 5.504044637787028)	('>100', 17.317724275876937)	('>500', 9.080533442539371)	('>1k', 21.463951345522418)	('>5k', 7.385609995099378)	('>10k+', 14.371106701614234)
24R_S23_R2_001	(1.0, 8.734178211872198)	(2.0, 2.5303398232654364)	(3.0, 1.3039582405954564)	(4.0, 0.944301636334517)	(5.0, 0.769609782851838)	(6.0, 0.6435982913610032)	(7.0, 0.5615049940785164)	(8.0, 0.5351757391535666)	(9.0, 0.47044149376758687)	('>10', 10.615151146415123)	('>50', 6.513380789973374)	('>100', 20.36670076351779)	('>500', 9.780576659017862)	('>1k', 20.705632775567352)	('>5k', 6.555620990278975)	('>10k+', 8.969828661949252)
25R_S24_R1_001	(1.0, 2.9161534503064366)	(2.0, 1.0656868463700195)	(3.0, 0.6853070125276006)	(4.0, 0.5289557340569359)	(5.0, 0.4005155144410866)	(6.0, 0.3673387635712355)	(7.0, 0.32343590741318884)	(8.0, 0.3023428460501266)	(9.0, 0.27352170584656293)	('>10', 5.648080234991191)	('>50', 3.2556848752619034)	('>100', 10.354100918046592)	('>500', 5.693075931535883)	('>1k', 16.104658435454912)	('>5k', 8.19230290847972)	('>10k+', 43.888838915646595)
25R_S24_R2_001	(1.0, 5.609053318534799)	(2.0, 1.2498053317152962)	(3.0, 0.7998730472923519)	(4.0, 0.5909148467443697)	(5.0, 0.48415763305526505)	(6.0, 0.43024630964945226)	(7.0, 0.38018983559295516)	(8.0, 0.3224509475323269)	(9.0, 0.3218082017503572)	('>10', 6.355756658827138)	('>50', 3.632835796140057)	('>100', 11.018336646617444)	('>500', 6.20981164629111)	('>1k', 17.977995692751154)	('>5k', 9.219849285993309)	('>10k+', 35.39691480151258)
