Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
20R_S20_R1	(25, 698.0)	(30, 2108.0)	(35, 2527.0)	(40, 2180.0)	(45, 2384.0)	(50, 2327.0)	(55, 1705.0)	(60, 1527.0)	(65, 1222.0)	(70, 909.0)	(75, 710.0)	(80, 611.0)	(85, 663.0)	(90, 560.0)	(95, 716.0)	(100, 844.0)	(105, 863.0)	(110, 919.0)	(115, 884.0)	(120, 792.0)	(125, 624.0)	(130, 448.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1035299.0)
20R_S20_R2	(25, 185.0)	(30, 312.0)	(35, 366.0)	(40, 457.0)	(45, 696.0)	(50, 955.0)	(55, 704.0)	(60, 726.0)	(65, 687.0)	(70, 583.0)	(75, 531.0)	(80, 409.0)	(85, 482.0)	(90, 414.0)	(95, 578.0)	(100, 648.0)	(105, 636.0)	(110, 743.0)	(115, 774.0)	(120, 640.0)	(125, 487.0)	(130, 361.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1049146.0)
21R_S21_R1	(25, 534.0)	(30, 1015.0)	(35, 2578.0)	(40, 1162.0)	(45, 991.0)	(50, 943.0)	(55, 779.0)	(60, 581.0)	(65, 545.0)	(70, 463.0)	(75, 388.0)	(80, 332.0)	(85, 406.0)	(90, 392.0)	(95, 568.0)	(100, 663.0)	(105, 686.0)	(110, 683.0)	(115, 755.0)	(120, 608.0)	(125, 575.0)	(130, 377.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1263514.0)
21R_S21_R2	(25, 111.0)	(30, 141.0)	(35, 178.0)	(40, 240.0)	(45, 325.0)	(50, 451.0)	(55, 366.0)	(60, 381.0)	(65, 353.0)	(70, 301.0)	(75, 321.0)	(80, 261.0)	(85, 302.0)	(90, 295.0)	(95, 492.0)	(100, 517.0)	(105, 536.0)	(110, 519.0)	(115, 521.0)	(120, 374.0)	(125, 344.0)	(130, 238.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1271971.0)
22R_S22_R1	(25, 1362.0)	(30, 3129.0)	(35, 7172.0)	(40, 3276.0)	(45, 2928.0)	(50, 2491.0)	(55, 1675.0)	(60, 1212.0)	(65, 1105.0)	(70, 801.0)	(75, 692.0)	(80, 458.0)	(85, 427.0)	(90, 337.0)	(95, 523.0)	(100, 440.0)	(105, 522.0)	(110, 517.0)	(115, 623.0)	(120, 560.0)	(125, 353.0)	(130, 216.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 420425.0)
22R_S22_R2	(25, 233.0)	(30, 373.0)	(35, 389.0)	(40, 472.0)	(45, 609.0)	(50, 819.0)	(55, 657.0)	(60, 584.0)	(65, 597.0)	(70, 423.0)	(75, 362.0)	(80, 226.0)	(85, 195.0)	(90, 166.0)	(95, 222.0)	(100, 224.0)	(105, 265.0)	(110, 268.0)	(115, 344.0)	(120, 280.0)	(125, 149.0)	(130, 96.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 443291.0)
23R_S94_R1	(25, 506.0)	(30, 864.0)	(35, 4486.0)	(40, 1601.0)	(45, 2471.0)	(50, 1856.0)	(55, 1387.0)	(60, 1103.0)	(65, 1057.0)	(70, 664.0)	(75, 453.0)	(80, 376.0)	(85, 376.0)	(90, 379.0)	(95, 452.0)	(100, 645.0)	(105, 729.0)	(110, 901.0)	(115, 902.0)	(120, 898.0)	(125, 898.0)	(130, 643.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6455371.0)
23R_S94_R2	(25, 95.0)	(30, 139.0)	(35, 165.0)	(40, 270.0)	(45, 360.0)	(50, 507.0)	(55, 407.0)	(60, 318.0)	(65, 321.0)	(70, 381.0)	(75, 267.0)	(80, 333.0)	(85, 354.0)	(90, 456.0)	(95, 500.0)	(100, 569.0)	(105, 776.0)	(110, 968.0)	(115, 1225.0)	(120, 1643.0)	(125, 1690.0)	(130, 1164.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6466110.0)
24R_S23_R1	(25, 794.0)	(30, 1691.0)	(35, 3465.0)	(40, 1741.0)	(45, 1808.0)	(50, 1659.0)	(55, 1229.0)	(60, 965.0)	(65, 899.0)	(70, 755.0)	(75, 664.0)	(80, 498.0)	(85, 412.0)	(90, 436.0)	(95, 461.0)	(100, 586.0)	(105, 733.0)	(110, 830.0)	(115, 822.0)	(120, 769.0)	(125, 691.0)	(130, 558.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3171080.0)
24R_S23_R2	(25, 190.0)	(30, 274.0)	(35, 319.0)	(40, 406.0)	(45, 502.0)	(50, 694.0)	(55, 534.0)	(60, 504.0)	(65, 483.0)	(70, 475.0)	(75, 407.0)	(80, 329.0)	(85, 231.0)	(90, 218.0)	(95, 271.0)	(100, 454.0)	(105, 551.0)	(110, 500.0)	(115, 550.0)	(120, 471.0)	(125, 476.0)	(130, 374.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3184333.0)
25R_S24_R1	(25, 184.0)	(30, 435.0)	(35, 1633.0)	(40, 553.0)	(45, 585.0)	(50, 521.0)	(55, 431.0)	(60, 471.0)	(65, 457.0)	(70, 430.0)	(75, 388.0)	(80, 393.0)	(85, 456.0)	(90, 433.0)	(95, 636.0)	(100, 657.0)	(105, 726.0)	(110, 820.0)	(115, 862.0)	(120, 874.0)	(125, 733.0)	(130, 621.0)	(135, 437.0)	(140, 1793.0)	(145, 27080.0)	(150, 687747.0)
25R_S24_R2	(25, 96.0)	(30, 134.0)	(35, 108.0)	(40, 176.0)	(45, 187.0)	(50, 253.0)	(55, 227.0)	(60, 284.0)	(65, 337.0)	(70, 277.0)	(75, 247.0)	(80, 256.0)	(85, 303.0)	(90, 253.0)	(95, 399.0)	(100, 394.0)	(105, 427.0)	(110, 523.0)	(115, 572.0)	(120, 474.0)	(125, 447.0)	(130, 396.0)	(135, 627.0)	(140, 2832.0)	(145, 41955.0)	(150, 678172.0)
26R_S25_R1	(25, 243.0)	(30, 661.0)	(35, 2763.0)	(40, 804.0)	(45, 894.0)	(50, 940.0)	(55, 842.0)	(60, 733.0)	(65, 629.0)	(70, 681.0)	(75, 619.0)	(80, 765.0)	(85, 595.0)	(90, 566.0)	(95, 793.0)	(100, 795.0)	(105, 1052.0)	(110, 1037.0)	(115, 1232.0)	(120, 1358.0)	(125, 1873.0)	(130, 2423.0)	(135, 3052.0)	(140, 7154.0)	(145, 40953.0)	(150, 1160393.0)
