Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20R_S20_R1	(1.0, 27.331654960859385)	(2.0, 6.289192887297854)	(3.0, 2.671323397329553)	(4.0, 1.7204848940710022)	(5.0, 1.3345526722669827)	(6.0, 1.0676625178956571)	(7.0, 0.9711777538180378)	(8.0, 0.9311519241435982)	(9.0, 0.7316783733040921)	('>10', 13.741261150993129)	('>50', 7.846545946032829)	('>100', 18.68839357232737)	('>500', 7.468298345825114)	('>1k', 8.690943080490939)	('>5k', 0.5156785233444627)	('>10k+', 0.0)
20R_S20_R2	(1.0, 30.845675528270306)	(2.0, 5.736950017490433)	(3.0, 2.575645676790802)	(4.0, 1.6654206783269214)	(5.0, 1.359963239902772)	(6.0, 1.1697402443581213)	(7.0, 0.9510077278730494)	(8.0, 0.8646278436431586)	(9.0, 0.8367505621225987)	('>10', 16.177735569016214)	('>50', 8.912240689779082)	('>100', 18.78456581513287)	('>500', 5.70907523535343)	('>1k', 4.410601171940246)	('>5k', 0.0)	('>10k+', 0.0)
21R_S21_R1	(1.0, 48.17572777156195)	(2.0, 10.427971644691695)	(3.0, 3.8849769288770144)	(4.0, 2.112644639221091)	(5.0, 1.4515389517095634)	(6.0, 1.168912387836054)	(7.0, 1.024994221129298)	(8.0, 0.8997891222595745)	(9.0, 0.7257041735968018)	('>10', 11.482759927128882)	('>50', 5.034271781564135)	('>100', 10.204828035842253)	('>500', 1.96115067540905)	('>1k', 1.4447297391726515)	('>5k', 0.0)	('>10k+', 0.0)
21R_S21_R2	(1.0, 50.204742097527244)	(2.0, 10.230599716955942)	(3.0, 3.6583585127553406)	(4.0, 1.9878323812369654)	(5.0, 1.3978039021604856)	(6.0, 1.1660956152879944)	(7.0, 0.9799542911197479)	(8.0, 0.8353351326694394)	(9.0, 0.7759110609736695)	('>10', 12.406104588132271)	('>50', 5.126791419169065)	('>100', 8.595027806740486)	('>500', 1.8873574208214852)	('>1k', 0.7480860544498402)	('>5k', 0.0)	('>10k+', 0.0)
22R_S22_R1	(1.0, 41.10837196789109)	(2.0, 9.88304388284284)	(3.0, 4.066209311950407)	(4.0, 2.246340401636901)	(5.0, 1.5729608010051483)	(6.0, 1.277810694693056)	(7.0, 1.1103236526831273)	(8.0, 0.9847742597881216)	(9.0, 0.9023007771332421)	('>10', 12.966531135107179)	('>50', 4.9659548662103745)	('>100', 11.011248518099272)	('>500', 2.9547069107737483)	('>1k', 4.949422820185504)	('>5k', 0.0)	('>10k+', 0.0)
22R_S22_R2	(1.0, 47.20398046257353)	(2.0, 8.985364872115774)	(3.0, 3.525519491948738)	(4.0, 2.020774203511344)	(5.0, 1.5147448424503658)	(6.0, 1.1713924070848314)	(7.0, 1.0472815981333985)	(8.0, 0.9396226311848264)	(9.0, 0.7501090598392738)	('>10', 12.742739708150546)	('>50', 4.990288100118408)	('>100', 9.277470192930593)	('>500', 2.8902452861468237)	('>1k', 2.940467143811554)	('>5k', 0.0)	('>10k+', 0.0)
23R_S94_R1	(1.0, 6.08202809512806)	(2.0, 4.294115992351942)	(3.0, 5.213601239208181)	(4.0, 5.334399366834197)	(5.0, 5.318716013639435)	(6.0, 4.993891528984939)	(7.0, 4.569898612324069)	(8.0, 4.150637726770075)	(9.0, 3.7570091721791767)	('>10', 30.563160858091624)	('>50', 4.917473130018363)	('>100', 9.655173732641757)	('>500', 3.8830936288731355)	('>1k', 6.598312549116092)	('>5k', 0.501871262816656)	('>10k+', 0.1666170910223129)
23R_S94_R2	(1.0, 10.547812920764366)	(2.0, 5.203048521104997)	(3.0, 5.442426946162138)	(4.0, 5.085270543670623)	(5.0, 4.548811756528245)	(6.0, 4.084881625278614)	(7.0, 3.583197302162101)	(8.0, 3.1867532547791138)	(9.0, 2.9890203281181518)	('>10', 31.925317741238096)	('>50', 5.02323958812978)	('>100', 10.467229982936276)	('>500', 3.644417782868788)	('>1k', 3.8681225920419733)	('>5k', 0.4004491142166859)	('>10k+', 0.0)
24R_S23_R1	(1.0, 49.83543356054274)	(2.0, 13.957062541454698)	(3.0, 4.716814346297989)	(4.0, 2.3002311751901585)	(5.0, 1.3793912519689122)	(6.0, 1.0273071245251004)	(7.0, 0.8930908152867586)	(8.0, 0.716194453669068)	(9.0, 0.6305222330197829)	('>10', 9.026409608257097)	('>50', 3.472491055312411)	('>100', 7.042692628549259)	('>500', 2.386864836350221)	('>1k', 2.451533023818556)	('>5k', 0.163961345757265)	('>10k+', 0.0)
24R_S23_R2	(1.0, 51.31012522087693)	(2.0, 13.635377055174228)	(3.0, 4.732861937755217)	(4.0, 2.2140283751629295)	(5.0, 1.368405896709597)	(6.0, 1.0275112470669607)	(7.0, 0.8539185552112317)	(8.0, 0.7173867804589853)	(9.0, 0.6751851905831189)	('>10', 9.449026398817715)	('>50', 3.508789651526211)	('>100', 6.664058934262997)	('>500', 1.7624820212996744)	('>1k', 2.0808427350942527)	('>5k', 0.0)	('>10k+', 0.0)
