Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1R_S1_R1	(14.0, 46.0)	(15.0, 306.0)	(16.0, 1229.0)	(17.0, 2392.0)	(18.0, 2827.0)	(19.0, 3449.0)	(20.0, 4857.0)	(21.0, 5788.0)	(22.0, 7690.0)	(23.0, 11778.0)	(24.0, 16465.0)	(25.0, 20476.0)	(26.0, 20423.0)	(27.0, 19109.0)	(28.0, 18122.0)	(29.0, 21234.0)	(30.0, 27468.0)	(31.0, 36525.0)	(32.0, 47851.0)	(33.0, 66202.0)	(34.0, 104233.0)	(35.0, 249542.0)	(36.0, 1666414.0)	(37.0, 63426.0)			
1R_S1_R2	(11.0, 32.0)	(12.0, 485.0)	(13.0, 878.0)	(14.0, 957.0)	(15.0, 1251.0)	(16.0, 2243.0)	(17.0, 3953.0)	(18.0, 6648.0)	(19.0, 10429.0)	(20.0, 14708.0)	(21.0, 20577.0)	(22.0, 23538.0)	(23.0, 26422.0)	(24.0, 27563.0)	(25.0, 25540.0)	(26.0, 20172.0)	(27.0, 18085.0)	(28.0, 18768.0)	(29.0, 22164.0)	(30.0, 27796.0)	(31.0, 36757.0)	(32.0, 50043.0)	(33.0, 78399.0)	(34.0, 147653.0)	(35.0, 425446.0)	(36.0, 1373339.0)	(37.0, 34006.0)
20R_S20_R1	(13.0, 3.0)	(14.0, 81.0)	(15.0, 569.0)	(16.0, 2527.0)	(17.0, 4803.0)	(18.0, 4402.0)	(19.0, 3605.0)	(20.0, 3206.0)	(21.0, 3155.0)	(22.0, 3557.0)	(23.0, 5746.0)	(24.0, 9002.0)	(25.0, 11810.0)	(26.0, 11483.0)	(27.0, 9904.0)	(28.0, 9101.0)	(29.0, 10323.0)	(30.0, 12062.0)	(31.0, 15386.0)	(32.0, 19265.0)	(33.0, 26235.0)	(34.0, 39780.0)	(35.0, 92539.0)	(36.0, 732221.0)	(37.0, 30755.0)		
20R_S20_R2	(11.0, 7.0)	(12.0, 179.0)	(13.0, 318.0)	(14.0, 473.0)	(15.0, 956.0)	(16.0, 1997.0)	(17.0, 3686.0)	(18.0, 5653.0)	(19.0, 6573.0)	(20.0, 6596.0)	(21.0, 7187.0)	(22.0, 8058.0)	(23.0, 10995.0)	(24.0, 13693.0)	(25.0, 14204.0)	(26.0, 11641.0)	(27.0, 10017.0)	(28.0, 9769.0)	(29.0, 11125.0)	(30.0, 12864.0)	(31.0, 16333.0)	(32.0, 21779.0)	(33.0, 33062.0)	(34.0, 60818.0)	(35.0, 180764.0)	(36.0, 597740.0)	(37.0, 15033.0)
21R_S21_R1	(13.0, 7.0)	(14.0, 41.0)	(15.0, 202.0)	(16.0, 817.0)	(17.0, 1689.0)	(18.0, 1660.0)	(19.0, 1528.0)	(20.0, 1666.0)	(21.0, 1646.0)	(22.0, 2515.0)	(23.0, 5112.0)	(24.0, 8767.0)	(25.0, 11937.0)	(26.0, 11812.0)	(27.0, 11186.0)	(28.0, 10937.0)	(29.0, 12817.0)	(30.0, 15938.0)	(31.0, 20635.0)	(32.0, 26266.0)	(33.0, 36217.0)	(34.0, 56370.0)	(35.0, 134640.0)	(36.0, 877989.0)	(37.0, 27144.0)		
21R_S21_R2	(11.0, 10.0)	(12.0, 147.0)	(13.0, 269.0)	(14.0, 304.0)	(15.0, 470.0)	(16.0, 802.0)	(17.0, 1585.0)	(18.0, 2624.0)	(19.0, 3348.0)	(20.0, 3684.0)	(21.0, 4609.0)	(22.0, 6248.0)	(23.0, 9722.0)	(24.0, 12834.0)	(25.0, 13602.0)	(26.0, 11543.0)	(27.0, 10102.0)	(28.0, 10307.0)	(29.0, 11696.0)	(30.0, 14536.0)	(31.0, 19247.0)	(32.0, 26350.0)	(33.0, 41319.0)	(34.0, 77261.0)	(35.0, 226216.0)	(36.0, 759694.0)	(37.0, 11009.0)
22R_S22_R1	(13.0, 3.0)	(14.0, 55.0)	(15.0, 404.0)	(16.0, 1699.0)	(17.0, 3392.0)	(18.0, 3596.0)	(19.0, 3722.0)	(20.0, 3747.0)	(21.0, 3342.0)	(22.0, 3224.0)	(23.0, 4127.0)	(24.0, 5631.0)	(25.0, 7011.0)	(26.0, 6437.0)	(27.0, 5484.0)	(28.0, 4683.0)	(29.0, 5143.0)	(30.0, 5601.0)	(31.0, 6924.0)	(32.0, 8829.0)	(33.0, 11919.0)	(34.0, 18065.0)	(35.0, 41409.0)	(36.0, 283783.0)	(37.0, 13014.0)		
22R_S22_R2	(11.0, 8.0)	(12.0, 68.0)	(13.0, 170.0)	(14.0, 352.0)	(15.0, 736.0)	(16.0, 1490.0)	(17.0, 2835.0)	(18.0, 4822.0)	(19.0, 6448.0)	(20.0, 6987.0)	(21.0, 7864.0)	(22.0, 8314.0)	(23.0, 9645.0)	(24.0, 10366.0)	(25.0, 9081.0)	(26.0, 6754.0)	(27.0, 5310.0)	(28.0, 4691.0)	(29.0, 4914.0)	(30.0, 5518.0)	(31.0, 6787.0)	(32.0, 8802.0)	(33.0, 13065.0)	(34.0, 23859.0)	(35.0, 70821.0)	(36.0, 227145.0)	(37.0, 4392.0)
23R_S94_R1	(13.0, 1.0)	(14.0, 25.0)	(15.0, 172.0)	(16.0, 791.0)	(17.0, 1466.0)	(18.0, 1568.0)	(19.0, 1976.0)	(20.0, 3155.0)	(21.0, 4440.0)	(22.0, 5790.0)	(23.0, 8279.0)	(24.0, 12853.0)	(25.0, 17837.0)	(26.0, 21263.0)	(27.0, 25776.0)	(28.0, 33492.0)	(29.0, 47787.0)	(30.0, 65086.0)	(31.0, 90800.0)	(32.0, 121900.0)	(33.0, 176236.0)	(34.0, 280504.0)	(35.0, 687982.0)	(36.0, 4725954.0)	(37.0, 143885.0)		
23R_S94_R2	(11.0, 31.0)	(12.0, 370.0)	(13.0, 629.0)	(14.0, 686.0)	(15.0, 809.0)	(16.0, 1187.0)	(17.0, 2308.0)	(18.0, 3701.0)	(19.0, 5388.0)	(20.0, 7277.0)	(21.0, 9597.0)	(22.0, 12923.0)	(23.0, 20482.0)	(24.0, 29516.0)	(25.0, 37326.0)	(26.0, 42223.0)	(27.0, 50909.0)	(28.0, 62107.0)	(29.0, 79075.0)	(30.0, 101190.0)	(31.0, 137801.0)	(32.0, 193602.0)	(33.0, 315836.0)	(34.0, 611517.0)	(35.0, 1608998.0)	(36.0, 3113598.0)	(37.0, 29932.0)
