Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1R_S1_R1	(13.0, 2.0)	(14.0, 52.0)	(15.0, 361.0)	(16.0, 1416.0)	(17.0, 2813.0)	(18.0, 3480.0)	(19.0, 4521.0)	(20.0, 6877.0)	(21.0, 8975.0)	(22.0, 12549.0)	(23.0, 19104.0)	(24.0, 27845.0)	(25.0, 37307.0)	(26.0, 42982.0)	(27.0, 48952.0)	(28.0, 54171.0)	(29.0, 62165.0)	(30.0, 71761.0)	(31.0, 85144.0)	(32.0, 95538.0)	(33.0, 114111.0)	(34.0, 159232.0)	(35.0, 346883.0)	(36.0, 2218372.0)	(37.0, 90978.0)		
1R_S1_R2	(11.0, 299.0)	(12.0, 5005.0)	(13.0, 9993.0)	(14.0, 10194.0)	(15.0, 9159.0)	(16.0, 8950.0)	(17.0, 10631.0)	(18.0, 16146.0)	(19.0, 25378.0)	(20.0, 34639.0)	(21.0, 44730.0)	(22.0, 51104.0)	(23.0, 62084.0)	(24.0, 72537.0)	(25.0, 73553.0)	(26.0, 61897.0)	(27.0, 53989.0)	(28.0, 49317.0)	(29.0, 49666.0)	(30.0, 52626.0)	(31.0, 61477.0)	(32.0, 75229.0)	(33.0, 109516.0)	(34.0, 193862.0)	(35.0, 543146.0)	(36.0, 1784025.0)	(37.0, 46439.0)
20R_S20_R1	(13.0, 6.0)	(14.0, 156.0)	(15.0, 725.0)	(16.0, 3054.0)	(17.0, 5865.0)	(18.0, 5309.0)	(19.0, 4371.0)	(20.0, 4378.0)	(21.0, 5039.0)	(22.0, 6269.0)	(23.0, 10145.0)	(24.0, 15902.0)	(25.0, 22394.0)	(26.0, 26262.0)	(27.0, 30367.0)	(28.0, 34699.0)	(29.0, 41493.0)	(30.0, 47795.0)	(31.0, 56676.0)	(32.0, 62867.0)	(33.0, 74919.0)	(34.0, 100388.0)	(35.0, 209933.0)	(36.0, 1629030.0)	(37.0, 71214.0)		
20R_S20_R2	(11.0, 106.0)	(12.0, 1802.0)	(13.0, 3434.0)	(14.0, 3471.0)	(15.0, 3262.0)	(16.0, 4007.0)	(17.0, 5970.0)	(18.0, 9372.0)	(19.0, 12687.0)	(20.0, 14200.0)	(21.0, 15910.0)	(22.0, 19356.0)	(23.0, 29427.0)	(24.0, 41478.0)	(25.0, 47649.0)	(26.0, 43731.0)	(27.0, 40020.0)	(28.0, 38323.0)	(29.0, 39214.0)	(30.0, 41660.0)	(31.0, 47900.0)	(32.0, 58317.0)	(33.0, 82556.0)	(34.0, 144623.0)	(35.0, 410864.0)	(36.0, 1279660.0)	(37.0, 30257.0)
21R_S21_R1	(13.0, 9.0)	(14.0, 92.0)	(15.0, 325.0)	(16.0, 1046.0)	(17.0, 2201.0)	(18.0, 2136.0)	(19.0, 1943.0)	(20.0, 2313.0)	(21.0, 2737.0)	(22.0, 4459.0)	(23.0, 9104.0)	(24.0, 15962.0)	(25.0, 23516.0)	(26.0, 27859.0)	(27.0, 32901.0)	(28.0, 37745.0)	(29.0, 44575.0)	(30.0, 51924.0)	(31.0, 60942.0)	(32.0, 69716.0)	(33.0, 86457.0)	(34.0, 121072.0)	(35.0, 270172.0)	(36.0, 1574567.0)	(37.0, 45511.0)		
21R_S21_R2	(11.0, 107.0)	(12.0, 1550.0)	(13.0, 3430.0)	(14.0, 3682.0)	(15.0, 3320.0)	(16.0, 3164.0)	(17.0, 4172.0)	(18.0, 7130.0)	(19.0, 10499.0)	(20.0, 12319.0)	(21.0, 14770.0)	(22.0, 19420.0)	(23.0, 31231.0)	(24.0, 44517.0)	(25.0, 51096.0)	(26.0, 47179.0)	(27.0, 43267.0)	(28.0, 40659.0)	(29.0, 41598.0)	(30.0, 44429.0)	(31.0, 51870.0)	(32.0, 64957.0)	(33.0, 94146.0)	(34.0, 165583.0)	(35.0, 436365.0)	(36.0, 1232461.0)	(37.0, 16363.0)
22R_S22_R1	(13.0, 6.0)	(14.0, 93.0)	(15.0, 486.0)	(16.0, 1908.0)	(17.0, 3723.0)	(18.0, 3934.0)	(19.0, 4090.0)	(20.0, 4297.0)	(21.0, 4086.0)	(22.0, 4429.0)	(23.0, 6231.0)	(24.0, 9172.0)	(25.0, 12961.0)	(26.0, 15031.0)	(27.0, 17509.0)	(28.0, 19930.0)	(29.0, 23302.0)	(30.0, 25495.0)	(31.0, 28474.0)	(32.0, 30995.0)	(33.0, 36964.0)	(34.0, 47946.0)	(35.0, 94029.0)	(36.0, 578106.0)	(37.0, 24226.0)		
22R_S22_R2	(11.0, 59.0)	(12.0, 968.0)	(13.0, 2019.0)	(14.0, 2419.0)	(15.0, 2585.0)	(16.0, 3190.0)	(17.0, 4825.0)	(18.0, 9025.0)	(19.0, 13684.0)	(20.0, 15151.0)	(21.0, 16294.0)	(22.0, 17681.0)	(23.0, 22672.0)	(24.0, 28671.0)	(25.0, 30829.0)	(26.0, 27855.0)	(27.0, 24794.0)	(28.0, 22297.0)	(29.0, 21154.0)	(30.0, 20914.0)	(31.0, 22468.0)	(32.0, 25533.0)	(33.0, 34494.0)	(34.0, 58409.0)	(35.0, 154352.0)	(36.0, 408266.0)	(37.0, 6815.0)
23R_S94_R1	(13.0, 2.0)	(14.0, 29.0)	(15.0, 205.0)	(16.0, 904.0)	(17.0, 1717.0)	(18.0, 1905.0)	(19.0, 2642.0)	(20.0, 4649.0)	(21.0, 7239.0)	(22.0, 9926.0)	(23.0, 13879.0)	(24.0, 21105.0)	(25.0, 31169.0)	(26.0, 40901.0)	(27.0, 53166.0)	(28.0, 67498.0)	(29.0, 89091.0)	(30.0, 110711.0)	(31.0, 141635.0)	(32.0, 175183.0)	(33.0, 236647.0)	(34.0, 356008.0)	(35.0, 836821.0)	(36.0, 5734742.0)	(37.0, 182379.0)		
23R_S94_R2	(11.0, 143.0)	(12.0, 1591.0)	(13.0, 3006.0)	(14.0, 3253.0)	(15.0, 2997.0)	(16.0, 3077.0)	(17.0, 4210.0)	(18.0, 6920.0)	(19.0, 12421.0)	(20.0, 16793.0)	(21.0, 20787.0)	(22.0, 27920.0)	(23.0, 46649.0)	(24.0, 68598.0)	(25.0, 81744.0)	(26.0, 82795.0)	(27.0, 88236.0)	(28.0, 96243.0)	(29.0, 111864.0)	(30.0, 134609.0)	(31.0, 174248.0)	(32.0, 235912.0)	(33.0, 375923.0)	(34.0, 716839.0)	(35.0, 1904260.0)	(36.0, 3859810.0)	(37.0, 39305.0)
24R_S23_R1	(13.0, 19.0)	(14.0, 201.0)	(15.0, 570.0)	(16.0, 1515.0)	(17.0, 3224.0)	(18.0, 3700.0)	(19.0, 3844.0)	(20.0, 4277.0)	(21.0, 4739.0)	(22.0, 5845.0)	(23.0, 9165.0)	(24.0, 14342.0)	(25.0, 21216.0)	(26.0, 27914.0)	(27.0, 37513.0)	(28.0, 48826.0)	(29.0, 64250.0)	(30.0, 82366.0)	(31.0, 106184.0)	(32.0, 136491.0)	(33.0, 191250.0)	(34.0, 302353.0)	(35.0, 758241.0)	(36.0, 3628066.0)	(37.0, 75700.0)		
24R_S23_R2	(11.0, 181.0)	(12.0, 2133.0)	(13.0, 3914.0)	(14.0, 3700.0)	(15.0, 3423.0)	(16.0, 3657.0)	(17.0, 4952.0)	(18.0, 8265.0)	(19.0, 13820.0)	(20.0, 17498.0)	(21.0, 19339.0)	(22.0, 21756.0)	(23.0, 28922.0)	(24.0, 37978.0)	(25.0, 47132.0)	(26.0, 51769.0)	(27.0, 59014.0)	(28.0, 66516.0)	(29.0, 78294.0)	(30.0, 93779.0)	(31.0, 119534.0)	(32.0, 157618.0)	(33.0, 240172.0)	(34.0, 431728.0)	(35.0, 1108620.0)	(36.0, 2846123.0)	(37.0, 61974.0)
25R_S24_R1	(14.0, 13.0)	(15.0, 73.0)	(16.0, 233.0)	(17.0, 513.0)	(18.0, 657.0)	(19.0, 838.0)	(20.0, 1090.0)	(21.0, 1655.0)	(22.0, 3308.0)	(23.0, 8014.0)	(24.0, 17473.0)	(25.0, 28518.0)	(26.0, 37176.0)	(27.0, 45230.0)	(28.0, 53735.0)	(29.0, 64180.0)	(30.0, 73161.0)	(31.0, 82163.0)	(32.0, 88916.0)	(33.0, 100841.0)	(34.0, 123435.0)	(35.0, 218537.0)	(36.0, 1218246.0)	(37.0, 46458.0)			
25R_S24_R2	(11.0, 8.0)	(12.0, 375.0)	(13.0, 1540.0)	(14.0, 2512.0)	(15.0, 2880.0)	(16.0, 2866.0)	(17.0, 3916.0)	(18.0, 9147.0)	(19.0, 17303.0)	(20.0, 22836.0)	(21.0, 29751.0)	(22.0, 41636.0)	(23.0, 66599.0)	(24.0, 93461.0)	(25.0, 105862.0)	(26.0, 94748.0)	(27.0, 80191.0)	(28.0, 67875.0)	(29.0, 60525.0)	(30.0, 57751.0)	(31.0, 61296.0)	(32.0, 70185.0)	(33.0, 96699.0)	(34.0, 163404.0)	(35.0, 378310.0)	(36.0, 676080.0)	(37.0, 6707.0)
26R_S25_R1	(13.0, 4.0)	(14.0, 15.0)	(15.0, 98.0)	(16.0, 357.0)	(17.0, 954.0)	(18.0, 1875.0)	(19.0, 4771.0)	(20.0, 10934.0)	(21.0, 18643.0)	(22.0, 22081.0)	(23.0, 21013.0)	(24.0, 21133.0)	(25.0, 24633.0)	(26.0, 28445.0)	(27.0, 33220.0)	(28.0, 38531.0)	(29.0, 45097.0)	(30.0, 51932.0)	(31.0, 60258.0)	(32.0, 69849.0)	(33.0, 85530.0)	(34.0, 117978.0)	(35.0, 242751.0)	(36.0, 1677592.0)	(37.0, 71600.0)		
26R_S25_R2	(11.0, 7.0)	(12.0, 470.0)	(13.0, 2166.0)	(14.0, 3113.0)	(15.0, 3195.0)	(16.0, 3111.0)	(17.0, 3640.0)	(18.0, 6807.0)	(19.0, 12478.0)	(20.0, 15342.0)	(21.0, 16726.0)	(22.0, 20650.0)	(23.0, 30334.0)	(24.0, 43709.0)	(25.0, 51927.0)	(26.0, 51956.0)	(27.0, 50075.0)	(28.0, 48333.0)	(29.0, 49085.0)	(30.0, 52089.0)	(31.0, 59560.0)	(32.0, 73212.0)	(33.0, 103940.0)	(34.0, 178940.0)	(35.0, 464713.0)	(36.0, 1285232.0)	(37.0, 18484.0)
27R_S26_R1	(13.0, 4.0)	(14.0, 60.0)	(15.0, 235.0)	(16.0, 722.0)	(17.0, 1536.0)	(18.0, 2055.0)	(19.0, 3585.0)	(20.0, 7480.0)	(21.0, 15208.0)	(22.0, 23074.0)	(23.0, 28851.0)	(24.0, 33418.0)	(25.0, 36454.0)	(26.0, 36844.0)	(27.0, 39264.0)	(28.0, 43566.0)	(29.0, 50985.0)	(30.0, 57549.0)	(31.0, 67391.0)	(32.0, 78476.0)	(33.0, 102356.0)	(34.0, 151835.0)	(35.0, 352986.0)	(36.0, 1476490.0)	(37.0, 23577.0)		
27R_S26_R2	(11.0, 101.0)	(12.0, 1530.0)	(13.0, 3422.0)	(14.0, 3656.0)	(15.0, 3394.0)	(16.0, 3116.0)	(17.0, 3924.0)	(18.0, 7027.0)	(19.0, 11769.0)	(20.0, 15556.0)	(21.0, 18120.0)	(22.0, 22191.0)	(23.0, 32075.0)	(24.0, 43404.0)	(25.0, 50183.0)	(26.0, 49990.0)	(27.0, 48895.0)	(28.0, 47770.0)	(29.0, 49630.0)	(30.0, 53349.0)	(31.0, 61286.0)	(32.0, 75290.0)	(33.0, 107641.0)	(34.0, 185853.0)	(35.0, 483424.0)	(36.0, 1233177.0)	(37.0, 18228.0)
28R_S27_R1	(13.0, 11.0)	(14.0, 142.0)	(15.0, 518.0)	(16.0, 1876.0)	(17.0, 3987.0)	(18.0, 4681.0)	(19.0, 4829.0)	(20.0, 5208.0)	(21.0, 6160.0)	(22.0, 8336.0)	(23.0, 13036.0)	(24.0, 19959.0)	(25.0, 28647.0)	(26.0, 36159.0)	(27.0, 45763.0)	(28.0, 55786.0)	(29.0, 68960.0)	(30.0, 83275.0)	(31.0, 102357.0)	(32.0, 123820.0)	(33.0, 162580.0)	(34.0, 240243.0)	(35.0, 551580.0)	(36.0, 3659998.0)	(37.0, 113577.0)		
28R_S27_R2	(11.0, 200.0)	(12.0, 2389.0)	(13.0, 4594.0)	(14.0, 4723.0)	(15.0, 4524.0)	(16.0, 4870.0)	(17.0, 6623.0)	(18.0, 11179.0)	(19.0, 18579.0)	(20.0, 22479.0)	(21.0, 23498.0)	(22.0, 27302.0)	(23.0, 40041.0)	(24.0, 54146.0)	(25.0, 62167.0)	(26.0, 60476.0)	(27.0, 60409.0)	(28.0, 61103.0)	(29.0, 66632.0)	(30.0, 76979.0)	(31.0, 96248.0)	(32.0, 126026.0)	(33.0, 195024.0)	(34.0, 357320.0)	(35.0, 1011285.0)	(36.0, 2893041.0)	(37.0, 49631.0)
