Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20R_S20_R1	(1.0, 18.562618343414254)	(2.0, 4.526126666320156)	(3.0, 2.2002343316930735)	(4.0, 1.5267374303534287)	(5.0, 1.1986738928309888)	(6.0, 0.9686088547189643)	(7.0, 0.9045952915270797)	(8.0, 0.7921701168821649)	(9.0, 0.7058482104354988)	('>10', 13.189489175864727)	('>50', 6.907340387083368)	('>100', 18.222024872380164)	('>500', 7.834640698574821)	('>1k', 12.44990707967306)	('>5k', 4.177388677867356)	('>10k+', 5.8335959703809035)
20R_S20_R2	(1.0, 25.336080540710103)	(2.0, 3.9824324704705107)	(3.0, 1.9411037560701334)	(4.0, 1.3876210004244627)	(5.0, 1.1406168198566329)	(6.0, 0.9572335631110043)	(7.0, 0.8630135442412151)	(8.0, 0.7372485832289507)	(9.0, 0.7072360962242823)	('>10', 13.518107216406355)	('>50', 7.475060487528092)	('>100', 18.217540244620288)	('>500', 5.883379543863293)	('>1k', 8.365684401972521)	('>5k', 3.011456990078372)	('>10k+', 6.476184741193807)
21R_S21_R1	(1.0, 34.50119325947536)	(2.0, 7.863940877071762)	(3.0, 3.356761677726395)	(4.0, 2.1096743122133916)	(5.0, 1.5506100385785324)	(6.0, 1.2754828619285528)	(7.0, 1.0725372642028543)	(8.0, 0.9928720374068455)	(9.0, 0.8463450348726762)	('>10', 14.306846407310342)	('>50', 6.5232459740549)	('>100', 15.396241602660881)	('>500', 4.648603079537379)	('>1k', 5.555645572960079)	('>5k', 0.0)	('>10k+', 0.0)
21R_S21_R2	(1.0, 40.72586969598255)	(2.0, 7.431603822949323)	(3.0, 3.067108944238416)	(4.0, 1.7790268755784926)	(5.0, 1.369551126041083)	(6.0, 1.1736484997801595)	(7.0, 0.9263714327096825)	(8.0, 0.8672099339483909)	(9.0, 0.8119256146219019)	('>10', 13.871212111300856)	('>50', 6.2519943102312885)	('>100', 13.30731859124055)	('>500', 4.003908915310355)	('>1k', 3.341328027995463)	('>5k', 1.071922098071491)	('>10k+', 0.0)
22R_S22_R1	(1.0, 28.81182880919109)	(2.0, 7.234076670539985)	(3.0, 3.3667575128288783)	(4.0, 2.120745373638989)	(5.0, 1.600316457015918)	(6.0, 1.360496193991604)	(7.0, 1.2339167670932827)	(8.0, 1.0785136234292356)	(9.0, 0.9607271763290799)	('>10', 17.097230577477813)	('>50', 7.670202688885378)	('>100', 17.077249270899483)	('>500', 4.373960194449824)	('>1k', 6.013978684229437)	('>5k', 0.0)	('>10k+', 0.0)
22R_S22_R2	(1.0, 41.110878284923956)	(2.0, 6.392424222125199)	(3.0, 2.9219846737803348)	(4.0, 1.7713366478449388)	(5.0, 1.4000259171254152)	(6.0, 1.1862199624589882)	(7.0, 1.0776794602838928)	(8.0, 0.9399499841941291)	(9.0, 0.8936127459117353)	('>10', 15.175511024712634)	('>50', 7.104737569173408)	('>100', 13.456551369109693)	('>500', 3.2929520426324723)	('>1k', 2.486196736033304)	('>5k', 0.7899393596898822)	('>10k+', 0.0)
23R_S94_R1	(1.0, 6.938446583919877)	(2.0, 3.9307000891181985)	(3.0, 4.6109194892172916)	(4.0, 4.588306157589798)	(5.0, 4.482089433909555)	(6.0, 4.259038836058074)	(7.0, 3.8622555770793374)	(8.0, 3.5396999072177726)	(9.0, 3.199690622330246)	('>10', 27.783298839424376)	('>50', 5.751049968550935)	('>100', 12.324538009111219)	('>500', 4.97758039506582)	('>1k', 8.331315248713917)	('>5k', 1.16949633617465)	('>10k+', 0.25157450651891794)
23R_S94_R2	(1.0, 12.697951074404715)	(2.0, 4.479725972519048)	(3.0, 4.654711283985656)	(4.0, 4.28907689465396)	(5.0, 3.8320811683140708)	(6.0, 3.450162738792047)	(7.0, 3.055023812353387)	(8.0, 2.6656067348357704)	(9.0, 2.5219322958460535)	('>10', 28.559400260718938)	('>50', 5.673089829407186)	('>100', 12.545210205370298)	('>500', 4.719298901965494)	('>1k', 5.768866494476002)	('>5k', 0.8700953854163023)	('>10k+', 0.21776694694114265)
24R_S23_R1	(1.0, 35.794111437985556)	(2.0, 10.584991892745347)	(3.0, 4.075590861681115)	(4.0, 2.2312458381473523)	(5.0, 1.5558362012919449)	(6.0, 1.2188291577316497)	(7.0, 1.0424475732528944)	(8.0, 0.8902753631171931)	(9.0, 0.7466735237557086)	('>10', 12.26173050401924)	('>50', 5.161809897248863)	('>100', 12.251949034008456)	('>500', 4.472964212812528)	('>1k', 7.008024231566661)	('>5k', 0.7035202706355305)	('>10k+', 0.0)
24R_S23_R2	(1.0, 38.884422022659436)	(2.0, 10.081173338061454)	(3.0, 3.9417925991860705)	(4.0, 2.0242588977897396)	(5.0, 1.4698887159313856)	(6.0, 1.0684589834446396)	(7.0, 0.9462981664513561)	(8.0, 0.820781535360161)	(9.0, 0.798806012223152)	('>10', 11.730002424326363)	('>50', 5.160717521308955)	('>100', 11.678960174464885)	('>500', 4.111303241825599)	('>1k', 5.932607852328825)	('>5k', 0.9371419782237637)	('>10k+', 0.41338653641427153)
