Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
20R_S20_R1	(25, 964.0)	(30, 2662.0)	(35, 3219.0)	(40, 3062.0)	(45, 3268.0)	(50, 3744.0)	(55, 2439.0)	(60, 2110.0)	(65, 1903.0)	(70, 1734.0)	(75, 1683.0)	(80, 1939.0)	(85, 2628.0)	(90, 2645.0)	(95, 3423.0)	(100, 4183.0)	(105, 4581.0)	(110, 5439.0)	(115, 5272.0)	(120, 4414.0)	(125, 4452.0)	(130, 2680.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2400812.0)
20R_S20_R2	(25, 285.0)	(30, 572.0)	(35, 543.0)	(40, 688.0)	(45, 899.0)	(50, 1187.0)	(55, 945.0)	(60, 1039.0)	(65, 1099.0)	(70, 999.0)	(75, 955.0)	(80, 834.0)	(85, 994.0)	(90, 1052.0)	(95, 1451.0)	(100, 1616.0)	(105, 1808.0)	(110, 2190.0)	(115, 2010.0)	(120, 1657.0)	(125, 1432.0)	(130, 1044.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2443957.0)
21R_S21_R1	(25, 733.0)	(30, 1424.0)	(35, 2922.0)	(40, 1593.0)	(45, 1410.0)	(50, 1532.0)	(55, 1216.0)	(60, 1051.0)	(65, 1020.0)	(70, 1062.0)	(75, 1114.0)	(80, 1175.0)	(85, 1798.0)	(90, 1891.0)	(95, 2726.0)	(100, 3360.0)	(105, 3991.0)	(110, 4618.0)	(115, 5157.0)	(120, 4209.0)	(125, 4588.0)	(130, 2741.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2437953.0)
21R_S21_R2	(25, 154.0)	(30, 261.0)	(35, 259.0)	(40, 382.0)	(45, 472.0)	(50, 631.0)	(55, 530.0)	(60, 643.0)	(65, 617.0)	(70, 600.0)	(75, 614.0)	(80, 528.0)	(85, 647.0)	(90, 760.0)	(95, 1214.0)	(100, 1296.0)	(105, 1633.0)	(110, 1902.0)	(115, 1690.0)	(120, 1238.0)	(125, 1178.0)	(130, 809.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2471226.0)
22R_S22_R1	(25, 2033.0)	(30, 4116.0)	(35, 8085.0)	(40, 4350.0)	(45, 3939.0)	(50, 3764.0)	(55, 2390.0)	(60, 1827.0)	(65, 1772.0)	(70, 1501.0)	(75, 1515.0)	(80, 1457.0)	(85, 1960.0)	(90, 1845.0)	(95, 2624.0)	(100, 2588.0)	(105, 3048.0)	(110, 3260.0)	(115, 3998.0)	(120, 3314.0)	(125, 3261.0)	(130, 2115.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 932661.0)
22R_S22_R2	(25, 398.0)	(30, 657.0)	(35, 580.0)	(40, 779.0)	(45, 922.0)	(50, 1115.0)	(55, 907.0)	(60, 913.0)	(65, 970.0)	(70, 741.0)	(75, 647.0)	(80, 478.0)	(85, 466.0)	(90, 473.0)	(95, 572.0)	(100, 574.0)	(105, 721.0)	(110, 819.0)	(115, 970.0)	(120, 780.0)	(125, 580.0)	(130, 386.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 981975.0)
23R_S94_R1	(25, 978.0)	(30, 1366.0)	(35, 4947.0)	(40, 2052.0)	(45, 3170.0)	(50, 2968.0)	(55, 1928.0)	(60, 1583.0)	(65, 1539.0)	(70, 1132.0)	(75, 1037.0)	(80, 1101.0)	(85, 1360.0)	(90, 1574.0)	(95, 1899.0)	(100, 2630.0)	(105, 3224.0)	(110, 3896.0)	(115, 3783.0)	(120, 3700.0)	(125, 4307.0)	(130, 3189.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 8066790.0)
23R_S94_R2	(25, 161.0)	(30, 314.0)	(35, 277.0)	(40, 400.0)	(45, 508.0)	(50, 692.0)	(55, 552.0)	(60, 522.0)	(65, 557.0)	(70, 627.0)	(75, 568.0)	(80, 597.0)	(85, 716.0)	(90, 892.0)	(95, 990.0)	(100, 1215.0)	(105, 1545.0)	(110, 1888.0)	(115, 2421.0)	(120, 2962.0)	(125, 2901.0)	(130, 1972.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 8096876.0)
24R_S23_R1	(25, 1193.0)	(30, 2147.0)	(35, 3963.0)	(40, 2329.0)	(45, 2483.0)	(50, 2770.0)	(55, 1818.0)	(60, 1536.0)	(65, 1473.0)	(70, 1445.0)	(75, 1438.0)	(80, 1492.0)	(85, 1600.0)	(90, 1775.0)	(95, 2182.0)	(100, 2762.0)	(105, 3782.0)	(110, 4173.0)	(115, 4198.0)	(120, 4042.0)	(125, 3875.0)	(130, 2782.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 5476553.0)
24R_S23_R2	(25, 288.0)	(30, 504.0)	(35, 461.0)	(40, 601.0)	(45, 701.0)	(50, 933.0)	(55, 768.0)	(60, 849.0)	(65, 871.0)	(70, 856.0)	(75, 772.0)	(80, 721.0)	(85, 569.0)	(90, 567.0)	(95, 720.0)	(100, 1146.0)	(105, 1661.0)	(110, 1423.0)	(115, 1636.0)	(120, 1366.0)	(125, 1394.0)	(130, 952.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 5512052.0)
25R_S24_R1	(25, 276.0)	(30, 618.0)	(35, 1880.0)	(40, 806.0)	(45, 839.0)	(50, 908.0)	(55, 739.0)	(60, 901.0)	(65, 990.0)	(70, 1026.0)	(75, 1198.0)	(80, 1469.0)	(85, 2248.0)	(90, 2348.0)	(95, 3762.0)	(100, 4209.0)	(105, 5284.0)	(110, 6049.0)	(115, 7734.0)	(120, 6552.0)	(125, 7282.0)	(130, 5104.0)	(135, 1062.0)	(140, 4970.0)	(145, 100308.0)	(150, 2045901.0)
