Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
1R_S1_R1	(1, 0.0)	(2, 0.08140878731342753)	(3, 0.0)	(4, 0.002759137795039298)	(5, 0.0)	(6, 0.000512004951656777)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001592904294043306)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.704419923722118e-05)	(35, 0.0)	(40, 0.0)	(45, 1.7384385866146603e-05)	(50, 0.0024360951911772326)	(55, 0.0)	(60, 0.00013521880872464679)	(65, 0.0)	(70, 5.922023531752706e-06)	(75, 0.00011282828502966404)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 9.59091855104239e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00012218014338084184)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00011702843852650109)	(145, 0.0)	(150, 0.0)
1R_S1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0004835602321202893)	(10, 3.4133663443785125e-05)	(15, 1.1377887814595042e-05)	(20, 0.0)	(25, 0.0)	(30, 9.680713552867999e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.868479773614907e-05)	(55, 2.8671444399704245e-05)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 5.7794631976787365e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 1.161645531300655e-05)	(105, 0.0007965179722652443)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.333882009544761e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.1678228599573101e-05)	(150, 0.0)
20R_S20_R1	(1, 0.0)	(2, 0.08253498219706665)	(3, 0.0)	(4, 0.0016199211422387957)	(5, 0.0)	(6, 0.0006074704283395484)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00017819132564626756)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.726506050170454e-05)	(35, 0.0)	(40, 0.0)	(45, 1.627285145677414e-05)	(50, 0.002094110465060378)	(55, 0.0)	(60, 0.00013066305949513754)	(65, 0.0)	(70, 0.0)	(75, 0.00010640641948291718)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 9.038414576629158e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00011615739393253513)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.000141618752322131)	(145, 8.330514842478294e-06)	(150, 0.0)
20R_S20_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0004049802855596989)	(10, 4.049802855596989e-05)	(15, 8.099605711193979e-06)	(20, 1.6199211422387957e-05)	(25, 0.0)	(30, 4.8607386232589745e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 7.299865666249818e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 8.1281351741392e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0008559541638990815)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.4532019027688145e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 8.18345003615039e-06)	(150, 0.0)
21R_S21_R1	(1, 0.0)	(2, 0.0794605999154777)	(3, 0.0)	(4, 0.0020889540928234786)	(5, 0.0)	(6, 0.0007632716877624247)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00012855102109682947)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 4.823043731260967e-05)	(35, 0.0)	(40, 0.0)	(45, 8.057855401784815e-06)	(50, 0.002394633891519537)	(55, 0.0)	(60, 0.00023405456845059023)	(65, 0.0)	(70, 0.0)	(75, 0.0001373817415948032)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 7.2922764664059e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0001225588122972571)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00013946126114818455)	(145, 8.203603596952033e-06)	(150, 0.0)
21R_S21_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.0172194092759207e-05)	(9, 0.0006829272995769065)	(10, 4.820663291131104e-05)	(15, 2.410331645565552e-05)	(20, 0.0)	(25, 0.0)	(30, 0.00011249354066107152)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 7.236107598025539e-05)	(55, 0.0)	(60, 0.0)	(65, 8.045990236512688e-06)	(70, 0.0)	(75, 4.829992709126006e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0007906214227910178)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 3.235346025919328e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.6186297813312098e-05)	(150, 0.0)
22R_S22_R1	(1, 0.0)	(2, 0.07699842494107315)	(3, 0.0)	(4, 0.0038098179007301815)	(5, 0.0)	(6, 0.0014036171213216459)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020051673161737798)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00012072213567115774)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.002794791987331372)	(55, 0.0)	(60, 0.000330568813890171)	(65, 0.0)	(70, 0.0)	(75, 0.0001661512516381475)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0001255343053873047)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.1190867414252214e-05)	(120, 2.1276251703163948e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00010722009390335823)	(145, 0.0)	(150, 0.0)
22R_S22_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00010025836580868899)	(9, 0.00040103346323475597)	(10, 2.00516731617378e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.025994591282245e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 2.0128058735285635e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0005882724042023746)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.0352405980025335e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
23R_S94_R1	(1, 0.0)	(2, 0.08273243127315458)	(3, 0.0)	(4, 0.0020935566115564573)	(5, 0.0)	(6, 0.0009359429557546514)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00016009550558961143)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.622092550329741e-05)	(35, 0.0)	(40, 0.0)	(45, 1.233102579559347e-05)	(50, 0.0018800117764727186)	(55, 1.4807757547254885e-05)	(60, 0.00012095632215368606)	(65, 0.0)	(70, 7.408149502778586e-06)	(75, 0.00013583516684053157)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 7.661242021279817e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 9.90061196425097e-06)	(120, 0.00010400581620334842)	(125, 0.0)	(130, 0.0)	(135, 2.4793009363079987e-06)	(140, 9.669273651601193e-05)	(145, 2.4793009363079987e-06)	(150, 0.0)
23R_S94_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0002955609333962057)	(10, 1.4778046669810286e-05)	(15, 1.231503889150857e-05)	(20, 2.4630077783017144e-06)	(25, 0.0)	(30, 4.9261901539941816e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 4.6808390813010754e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 4.928953813287583e-06)	(80, 2.4646507466659434e-06)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0008853284818976588)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.2345045909620882e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 7.410265391244722e-06)	(150, 0.0)
