Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
25R_S24_R1	(1.0, 3.2328283932921322)	(2.0, 1.1673744599110898)	(3.0, 0.7432441909365199)	(4.0, 0.5699102172871681)	(5.0, 0.45209011001110255)	(6.0, 0.40642086895666657)	(7.0, 0.36402641197754426)	(8.0, 0.3367079554710213)	(9.0, 0.30528191331994814)	('>10', 6.095731403954914)	('>50', 3.578561537974126)	('>100', 11.220962257109912)	('>500', 6.084121900266524)	('>1k', 17.688153090197506)	('>5k', 8.100852487150265)	('>10k+', 39.65373280218356)
25R_S24_R2	(1.0, 6.689124626310916)	(2.0, 1.4143511202464358)	(3.0, 0.8540954885169806)	(4.0, 0.6458056493817069)	(5.0, 0.5302975584682115)	(6.0, 0.4662209584353873)	(7.0, 0.41072793761920384)	(8.0, 0.3623637213127844)	(9.0, 0.3409475010101793)	('>10', 6.586184417972351)	('>50', 3.7027956442106658)	('>100', 11.519891931011001)	('>500', 6.2406081836391385)	('>1k', 18.426222910445077)	('>5k', 9.660066697265288)	('>10k+', 32.15029565415464)
26R_S25_R1	(1.0, 5.162620487281605)	(2.0, 1.8348295856603722)	(3.0, 1.0272222060140699)	(4.0, 0.7528102993879597)	(5.0, 0.6039193258982066)	(6.0, 0.49894224594787956)	(7.0, 0.4533661435993635)	(8.0, 0.40956930838085953)	(9.0, 0.3548386752793272)	('>10', 7.492630651821821)	('>50', 4.471506516093111)	('>100', 15.287770843053956)	('>500', 8.504038885545677)	('>1k', 21.39024621805993)	('>5k', 8.43117388225215)	('>10k+', 23.324514725723684)
26R_S25_R2	(1.0, 7.161643260650916)	(2.0, 1.8981755784520735)	(3.0, 1.0611846807140841)	(4.0, 0.7748971787940968)	(5.0, 0.620005323454228)	(6.0, 0.5434902635565779)	(7.0, 0.4669818986990318)	(8.0, 0.43750791726059163)	(9.0, 0.38827098426787326)	('>10', 8.06079056652084)	('>50', 4.939841720022931)	('>100', 16.820734132659588)	('>500', 9.151242583877627)	('>1k', 24.044237726657503)	('>5k', 9.106814664942167)	('>10k+', 14.524181519469861)
27R_S26_R1	(1.0, 4.139553393714694)	(2.0, 1.3778380705544668)	(3.0, 0.7761861520227192)	(4.0, 0.5504630675364086)	(5.0, 0.45826559904908876)	(6.0, 0.3812409578880021)	(7.0, 0.33298936894763737)	(8.0, 0.29145291313932814)	(9.0, 0.2900812213987823)	('>10', 5.49151275953579)	('>50', 3.290082726324597)	('>100', 11.547187345061378)	('>500', 6.867857686367662)	('>1k', 19.283765471303056)	('>5k', 9.893300078386128)	('>10k+', 35.028223188770276)
27R_S26_R2	(1.0, 5.478222370012576)	(2.0, 1.428016852361461)	(3.0, 0.7997452599819278)	(4.0, 0.5757575727181949)	(5.0, 0.4723221198255313)	(6.0, 0.4112630969602039)	(7.0, 0.3638387492811113)	(8.0, 0.30542153730410243)	(9.0, 0.2978100546229947)	('>10', 5.753256503754075)	('>50', 3.411487644643654)	('>100', 11.880104138841302)	('>500', 7.137176676451906)	('>1k', 23.32268173184367)	('>5k', 11.74484869075345)	('>10k+', 26.618047000643795)
28R_S27_R1	(1.0, 4.651863820515706)	(2.0, 1.9143229062452403)	(3.0, 1.1986858817290513)	(4.0, 0.8540776240416621)	(5.0, 0.7006352098931978)	(6.0, 0.6048256073216565)	(7.0, 0.5325516783703766)	(8.0, 0.5076314898138744)	(9.0, 0.4743700936304453)	('>10', 9.349239341007054)	('>50', 5.59203978157926)	('>100', 17.786045252719727)	('>500', 9.195937873591784)	('>1k', 20.896913463908216)	('>5k', 8.360746007277644)	('>10k+', 17.380113968355133)
28R_S27_R2	(1.0, 6.497385300064258)	(2.0, 1.8661039239057948)	(3.0, 1.163699534276256)	(4.0, 0.9166947025828449)	(5.0, 0.702020903933426)	(6.0, 0.6492820997806497)	(7.0, 0.5700917875098407)	(8.0, 0.4923100423553346)	(9.0, 0.47824959523048527)	('>10', 10.140073920454917)	('>50', 6.382433373765911)	('>100', 19.89370561262655)	('>500', 9.618816920202427)	('>1k', 20.49823769212768)	('>5k', 8.276058279167518)	('>10k+', 11.85483631201614)
29R_S28_R1	(1.0, 4.645977954183545)	(2.0, 1.4042386616321245)	(3.0, 0.7865996459663658)	(4.0, 0.5860260704815807)	(5.0, 0.4647399499459859)	(6.0, 0.4000519318758557)	(7.0, 0.36669720869123057)	(8.0, 0.3397325766796687)	(9.0, 0.308146285150434)	('>10', 6.102584365999464)	('>50', 3.6090024888382963)	('>100', 11.760752586928525)	('>500', 6.625612916204659)	('>1k', 17.50292731710992)	('>5k', 8.46486587625278)	('>10k+', 36.63204416405954)
29R_S28_R2	(1.0, 5.637958245284141)	(2.0, 1.4618700929844732)	(3.0, 0.8120776021920293)	(4.0, 0.6076961920141977)	(5.0, 0.497452118801631)	(6.0, 0.44788608567870947)	(7.0, 0.39505512659728564)	(8.0, 0.3529647974254837)	(9.0, 0.3328238310003602)	('>10', 6.562150822187407)	('>50', 3.9456043902197133)	('>100', 13.053778479343528)	('>500', 7.3222016239997005)	('>1k', 23.444660661405177)	('>5k', 11.477177044540683)	('>10k+', 23.648642886325508)
2R_S8_R1	(1.0, 3.1085152471139015)	(2.0, 1.6295736255160502)	(3.0, 1.6845635514057138)	(4.0, 1.614677315231654)	(5.0, 1.4797582803515605)	(6.0, 1.3208809685875769)	(7.0, 1.0571131141317283)	(8.0, 0.9404795404408861)	(9.0, 0.764624164750891)	('>10', 11.42460272968558)	('>50', 6.037356950496191)	('>100', 18.938850978781357)	('>500', 9.878498270677575)	('>1k', 22.401826725309114)	('>5k', 7.297036864436185)	('>10k+', 10.42164167308403)
2R_S8_R2	(1.0, 5.0888586047444715)	(2.0, 1.5706779540418163)	(3.0, 1.4952810206711111)	(4.0, 1.3574952503028979)	(5.0, 1.2385833168198697)	(6.0, 1.124392599748751)	(7.0, 0.9923529226322182)	(8.0, 0.8640678513351809)	(9.0, 0.7569708963880267)	('>10', 12.967940809393163)	('>50', 7.538062893593496)	('>100', 23.101242703210023)	('>500', 11.191774148001198)	('>1k', 21.399144958249625)	('>5k', 5.586442536612908)	('>10k+', 3.7267115342551635)
30R_S29_R1	(1.0, 6.8597690278782935)	(2.0, 2.1190813400037585)	(3.0, 1.0915166874271676)	(4.0, 0.7418690190026689)	(5.0, 0.5902390318618019)	(6.0, 0.4695731180348701)	(7.0, 0.41630499156258993)	(8.0, 0.3858962885781228)	(9.0, 0.35708519821316526)	('>10', 6.539717731840383)	('>50', 3.723646693461771)	('>100', 12.217008866679256)	('>500', 6.831159074595021)	('>1k', 17.429598387319047)	('>5k', 7.563081302555695)	('>10k+', 32.66445324098631)
30R_S29_R2	(1.0, 8.391888431760147)	(2.0, 2.059607358623687)	(3.0, 1.0975951748378943)	(4.0, 0.7348502558550727)	(5.0, 0.5682373217197806)	(6.0, 0.47970172208151124)	(7.0, 0.42357528267491507)	(8.0, 0.37011119702299095)	(9.0, 0.35273493063588945)	('>10', 6.95077020683401)	('>50', 4.047336713587882)	('>100', 12.939816913161689)	('>500', 6.419367074982718)	('>1k', 18.34053611145018)	('>5k', 8.830662940830452)	('>10k+', 27.993208363941175)
31R_S30_R1	(1.0, 4.744884960778189)	(2.0, 1.6460903949700734)	(3.0, 0.9048616728852308)	(4.0, 0.6634995410496081)	(5.0, 0.513040467881231)	(6.0, 0.46433684417974397)	(7.0, 0.39230110601300405)	(8.0, 0.35335098304031004)	(9.0, 0.33376078219004)	('>10', 6.269634039404215)	('>50', 3.820159220105185)	('>100', 13.02906688985012)	('>500', 7.652095970881473)	('>1k', 23.840725919935146)	('>5k', 9.731751587170049)	('>10k+', 25.640439619666378)
31R_S30_R2	(1.0, 6.919767145480546)	(2.0, 1.696559297441578)	(3.0, 0.9329198424273738)	(4.0, 0.6547462636913595)	(5.0, 0.5418529031560575)	(6.0, 0.4602238257171373)	(7.0, 0.3901836635389397)	(8.0, 0.35100225752157244)	(9.0, 0.3250049846383429)	('>10', 6.432323694209363)	('>50', 4.049387318006383)	('>100', 15.203644716148155)	('>500', 9.334891099151568)	('>1k', 26.01778821633003)	('>5k', 11.434574006162807)	('>10k+', 15.255130766378757)
32R_S31_R1	(1.0, 4.678505653889211)	(2.0, 1.7190102871108768)	(3.0, 1.0626516854928594)	(4.0, 0.8190293484609171)	(5.0, 0.6447680052642658)	(6.0, 0.60242471263108)	(7.0, 0.48837710328313516)	(8.0, 0.4659505594255144)	(9.0, 0.4484874059644775)	('>10', 8.453850027995998)	('>50', 4.95612011314812)	('>100', 15.816606129901087)	('>500', 8.720733098836433)	('>1k', 18.93853405793149)	('>5k', 8.175328970886325)	('>10k+', 24.009622839778153)
