Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1R_S1_R2	(25, 3514.0)	(30, 3616.0)	(35, 5338.0)	(40, 6819.0)	(45, 8051.0)	(50, 10349.0)	(55, 11414.0)	(60, 15540.0)	(65, 18607.0)	(70, 19880.0)	(75, 20884.0)	(80, 14431.0)	(85, 8710.0)	(90, 4811.0)	(95, 4133.0)	(100, 5184.0)	(105, 4904.0)	(110, 5320.0)	(115, 5065.0)	(120, 4052.0)	(125, 3491.0)	(130, 2320.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 37417064.0)
20R_S20_R1	(25, 1012.0)	(30, 2741.0)	(35, 3367.0)	(40, 3263.0)	(45, 3469.0)	(50, 4154.0)	(55, 2874.0)	(60, 2903.0)	(65, 3029.0)	(70, 3192.0)	(75, 3285.0)	(80, 3041.0)	(85, 3201.0)	(90, 2960.0)	(95, 3643.0)	(100, 4473.0)	(105, 4949.0)	(110, 5844.0)	(115, 5756.0)	(120, 4838.0)	(125, 4982.0)	(130, 3020.0)	(135, 1.0)	(140, 2.0)	(145, 0.0)	(150, 21715753.0)
20R_S20_R2	(25, 334.0)	(30, 660.0)	(35, 698.0)	(40, 885.0)	(45, 1084.0)	(50, 1540.0)	(55, 1363.0)	(60, 1847.0)	(65, 2271.0)	(70, 2508.0)	(75, 2518.0)	(80, 1845.0)	(85, 1521.0)	(90, 1378.0)	(95, 1759.0)	(100, 2039.0)	(105, 2582.0)	(110, 2972.0)	(115, 2908.0)	(120, 2504.0)	(125, 2173.0)	(130, 1859.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 21756504.0)
21R_S21_R1	(25, 757.0)	(30, 1465.0)	(35, 2975.0)	(40, 1706.0)	(45, 1580.0)	(50, 1810.0)	(55, 1615.0)	(60, 1722.0)	(65, 1909.0)	(70, 2167.0)	(75, 2213.0)	(80, 1901.0)	(85, 2154.0)	(90, 2088.0)	(95, 2930.0)	(100, 3589.0)	(105, 4339.0)	(110, 5052.0)	(115, 5558.0)	(120, 4611.0)	(125, 5019.0)	(130, 3068.0)	(135, 1.0)	(140, 6.0)	(145, 0.0)	(150, 25742548.0)
21R_S21_R2	(25, 176.0)	(30, 306.0)	(35, 322.0)	(40, 501.0)	(45, 641.0)	(50, 887.0)	(55, 908.0)	(60, 1326.0)	(65, 1517.0)	(70, 1737.0)	(75, 1713.0)	(80, 1139.0)	(85, 956.0)	(90, 967.0)	(95, 1429.0)	(100, 1583.0)	(105, 2173.0)	(110, 2531.0)	(115, 2285.0)	(120, 1788.0)	(125, 1782.0)	(130, 1478.0)	(135, 0.0)	(140, 0.0)	(145, 1.0)	(150, 25774637.0)
22R_S22_R1	(25, 2100.0)	(30, 4203.0)	(35, 8209.0)	(40, 4495.0)	(45, 4136.0)	(50, 4121.0)	(55, 2871.0)	(60, 2515.0)	(65, 2655.0)	(70, 2736.0)	(75, 2749.0)	(80, 2217.0)	(85, 2355.0)	(90, 2018.0)	(95, 2766.0)	(100, 2754.0)	(105, 3253.0)	(110, 3463.0)	(115, 4304.0)	(120, 3603.0)	(125, 3575.0)	(130, 2285.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 13888201.0)
22R_S22_R2	(25, 469.0)	(30, 743.0)	(35, 710.0)	(40, 925.0)	(45, 1132.0)	(50, 1448.0)	(55, 1356.0)	(60, 1659.0)	(65, 1876.0)	(70, 1962.0)	(75, 1889.0)	(80, 1165.0)	(85, 790.0)	(90, 635.0)	(95, 705.0)	(100, 682.0)	(105, 887.0)	(110, 1000.0)	(115, 1185.0)	(120, 992.0)	(125, 765.0)	(130, 493.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 13938117.0)
23R_S94_R1	(25, 1004.0)	(30, 1439.0)	(35, 5070.0)	(40, 2149.0)	(45, 3293.0)	(50, 3171.0)	(55, 2171.0)	(60, 1941.0)	(65, 2078.0)	(70, 1838.0)	(75, 1728.0)	(80, 1592.0)	(85, 1591.0)	(90, 1689.0)	(95, 2071.0)	(100, 2822.0)	(105, 3462.0)	(110, 4215.0)	(115, 4144.0)	(120, 4060.0)	(125, 4804.0)	(130, 3656.0)	(135, 0.0)	(140, 2.0)	(145, 0.0)	(150, 34190863.0)
23R_S94_R2	(25, 188.0)	(30, 387.0)	(35, 406.0)	(40, 498.0)	(45, 616.0)	(50, 846.0)	(55, 758.0)	(60, 910.0)	(65, 1091.0)	(70, 1330.0)	(75, 1310.0)	(80, 1028.0)	(85, 945.0)	(90, 1043.0)	(95, 1185.0)	(100, 1454.0)	(105, 1812.0)	(110, 2229.0)	(115, 2821.0)	(120, 3350.0)	(125, 3327.0)	(130, 2353.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 34220966.0)
24R_S23_R1	(25, 1228.0)	(30, 2213.0)	(35, 4053.0)	(40, 2488.0)	(45, 2652.0)	(50, 3073.0)	(55, 2247.0)	(60, 2217.0)	(65, 2422.0)	(70, 2677.0)	(75, 2619.0)	(80, 2453.0)	(85, 2074.0)	(90, 2008.0)	(95, 2370.0)	(100, 3072.0)	(105, 4119.0)	(110, 4536.0)	(115, 4572.0)	(120, 4463.0)	(125, 4346.0)	(130, 3126.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 29884901.0)
