.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
77R_S75_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
77R_S75_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
78R_S76_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
78R_S76_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
79R_S77_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
79R_S77_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
7R_S6_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
7R_S6_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
80R_S78_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
80R_S78_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
81R_S79_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
81R_S79_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
82R_S80_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
82R_S80_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
84R_S81_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
84R_S81_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
85R_S82_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
85R_S82_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
86R_S83_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
86R_S83_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
87R_S84_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
87R_S84_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
88R_S85_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
88R_S85_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
89R_S86_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
89R_S86_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
8R_S7_R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
8R_S7_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
90R_S87_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
90R_S87_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
91R_S88_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
91R_S88_R2	1	0.25	1	1	0.5	0.5	1	0.5	0.25	0.5	1
92R_S89_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
92R_S89_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
93R_S90_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
93R_S90_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
94R_S91_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
94R_S91_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
95R_S92_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
95R_S92_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
96R_S93_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
96R_S93_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
9R_S9_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
9R_S9_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
