Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1R_S1_R1	(12.0, 1.0)	(13.0, 2.0)	(14.0, 53.0)	(15.0, 363.0)	(16.0, 1438.0)	(17.0, 2863.0)	(18.0, 3653.0)	(19.0, 4890.0)	(20.0, 7695.0)	(21.0, 10422.0)	(22.0, 14679.0)	(23.0, 22324.0)	(24.0, 33079.0)	(25.0, 49155.0)	(26.0, 70369.0)	(27.0, 106881.0)	(28.0, 161371.0)	(29.0, 247641.0)	(30.0, 356863.0)	(31.0, 506457.0)	(32.0, 673412.0)	(33.0, 947657.0)	(34.0, 1461034.0)	(35.0, 3352527.0)	(36.0, 28325002.0)	(37.0, 1243666.0)	
1R_S1_R2	(11.0, 303.0)	(12.0, 5026.0)	(13.0, 10081.0)	(14.0, 10296.0)	(15.0, 9287.0)	(16.0, 9087.0)	(17.0, 10816.0)	(18.0, 16484.0)	(19.0, 26024.0)	(20.0, 35924.0)	(21.0, 47168.0)	(22.0, 55380.0)	(23.0, 69882.0)	(24.0, 89809.0)	(25.0, 111735.0)	(26.0, 130932.0)	(27.0, 168157.0)	(28.0, 219606.0)	(29.0, 293962.0)	(30.0, 391273.0)	(31.0, 538931.0)	(32.0, 744348.0)	(33.0, 1152518.0)	(34.0, 2084935.0)	(35.0, 6202630.0)	(36.0, 24493944.0)	(37.0, 674959.0)
20R_S20_R1	(13.0, 7.0)	(14.0, 164.0)	(15.0, 749.0)	(16.0, 3102.0)	(17.0, 5951.0)	(18.0, 5396.0)	(19.0, 4512.0)	(20.0, 4737.0)	(21.0, 5842.0)	(22.0, 7720.0)	(23.0, 12330.0)	(24.0, 19491.0)	(25.0, 29828.0)	(26.0, 42598.0)	(27.0, 63862.0)	(28.0, 95384.0)	(29.0, 145017.0)	(30.0, 207448.0)	(31.0, 292821.0)	(32.0, 384950.0)	(33.0, 536424.0)	(34.0, 814252.0)	(35.0, 1847521.0)	(36.0, 16547001.0)	(37.0, 718645.0)		
20R_S20_R2	(11.0, 106.0)	(12.0, 1815.0)	(13.0, 3461.0)	(14.0, 3510.0)	(15.0, 3308.0)	(16.0, 4064.0)	(17.0, 6054.0)	(18.0, 9518.0)	(19.0, 12895.0)	(20.0, 14642.0)	(21.0, 16835.0)	(22.0, 21121.0)	(23.0, 33549.0)	(24.0, 51885.0)	(25.0, 71529.0)	(26.0, 89315.0)	(27.0, 114976.0)	(28.0, 148666.0)	(29.0, 196142.0)	(30.0, 256958.0)	(31.0, 345169.0)	(32.0, 472039.0)	(33.0, 719486.0)	(34.0, 1300268.0)	(35.0, 3859099.0)	(36.0, 13675951.0)	(37.0, 363391.0)
21R_S21_R1	(13.0, 9.0)	(14.0, 102.0)	(15.0, 344.0)	(16.0, 1069.0)	(17.0, 2274.0)	(18.0, 2210.0)	(19.0, 2085.0)	(20.0, 2635.0)	(21.0, 3399.0)	(22.0, 5632.0)	(23.0, 11056.0)	(24.0, 19511.0)	(25.0, 32166.0)	(26.0, 47539.0)	(27.0, 74040.0)	(28.0, 113706.0)	(29.0, 173940.0)	(30.0, 251670.0)	(31.0, 355056.0)	(32.0, 476460.0)	(33.0, 679638.0)	(34.0, 1053233.0)	(35.0, 2502505.0)	(36.0, 19316607.0)	(37.0, 675897.0)		
21R_S21_R2	(11.0, 109.0)	(12.0, 1561.0)	(13.0, 3454.0)	(14.0, 3727.0)	(15.0, 3365.0)	(16.0, 3232.0)	(17.0, 4265.0)	(18.0, 7309.0)	(19.0, 10793.0)	(20.0, 12891.0)	(21.0, 15982.0)	(22.0, 21883.0)	(23.0, 37074.0)	(24.0, 58590.0)	(25.0, 81164.0)	(26.0, 100881.0)	(27.0, 131063.0)	(28.0, 168978.0)	(29.0, 225677.0)	(30.0, 299212.0)	(31.0, 411319.0)	(32.0, 571832.0)	(33.0, 885726.0)	(34.0, 1591876.0)	(35.0, 4428207.0)	(36.0, 16442916.0)	(37.0, 279697.0)
22R_S22_R1	(13.0, 6.0)	(14.0, 101.0)	(15.0, 490.0)	(16.0, 1922.0)	(17.0, 3760.0)	(18.0, 3972.0)	(19.0, 4153.0)	(20.0, 4373.0)	(21.0, 4239.0)	(22.0, 4698.0)	(23.0, 6795.0)	(24.0, 10474.0)	(25.0, 16662.0)	(26.0, 24121.0)	(27.0, 37236.0)	(28.0, 56838.0)	(29.0, 87608.0)	(30.0, 125664.0)	(31.0, 177453.0)	(32.0, 239557.0)	(33.0, 342391.0)	(34.0, 525142.0)	(35.0, 1175156.0)	(36.0, 10588886.0)	(37.0, 519888.0)		
22R_S22_R2	(11.0, 59.0)	(12.0, 976.0)	(13.0, 2026.0)	(14.0, 2436.0)	(15.0, 2607.0)	(16.0, 3235.0)	(17.0, 4869.0)	(18.0, 9109.0)	(19.0, 13871.0)	(20.0, 15567.0)	(21.0, 17060.0)	(22.0, 19192.0)	(23.0, 26005.0)	(24.0, 36423.0)	(25.0, 48164.0)	(26.0, 59531.0)	(27.0, 77907.0)	(28.0, 100145.0)	(29.0, 132520.0)	(30.0, 172846.0)	(31.0, 232973.0)	(32.0, 319098.0)	(33.0, 494565.0)	(34.0, 905479.0)	(35.0, 2615382.0)	(36.0, 8478917.0)	(37.0, 170623.0)
23R_S94_R1	(13.0, 2.0)	(14.0, 29.0)	(15.0, 206.0)	(16.0, 915.0)	(17.0, 1740.0)	(18.0, 1933.0)	(19.0, 2773.0)	(20.0, 4950.0)	(21.0, 7874.0)	(22.0, 11053.0)	(23.0, 15992.0)	(24.0, 25466.0)	(25.0, 41594.0)	(26.0, 64294.0)	(27.0, 101529.0)	(28.0, 154473.0)	(29.0, 233230.0)	(30.0, 327475.0)	(31.0, 460748.0)	(32.0, 621496.0)	(33.0, 894684.0)	(34.0, 1384492.0)	(35.0, 3247515.0)	(36.0, 25634821.0)	(37.0, 1011569.0)		
23R_S94_R2	(11.0, 144.0)	(12.0, 1598.0)	(13.0, 3028.0)	(14.0, 3280.0)	(15.0, 3027.0)	(16.0, 3122.0)	(17.0, 4281.0)	(18.0, 7044.0)	(19.0, 12703.0)	(20.0, 17345.0)	(21.0, 22082.0)	(22.0, 31007.0)	(23.0, 54914.0)	(24.0, 89558.0)	(25.0, 126722.0)	(26.0, 161427.0)	(27.0, 210653.0)	(28.0, 271179.0)	(29.0, 354092.0)	(30.0, 459457.0)	(31.0, 623653.0)	(32.0, 860580.0)	(33.0, 1363949.0)	(34.0, 2563784.0)	(35.0, 7369501.0)	(36.0, 19389129.0)	(37.0, 243594.0)
