Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSM9VZFL_R1	(25.0, 4.0)	(26.0, 28.0)	(27.0, 151.0)	(28.0, 580.0)	(29.0, 2040.0)	(30.0, 5744.0)	(31.0, 14149.0)	(32.0, 30766.0)	(33.0, 61729.0)	(34.0, 126497.0)	(35.0, 303974.0)	(36.0, 2891958.0)	(37.0, 1295046.0)			
MSM9VZFL_R2	(23.0, 1.0)	(24.0, 12.0)	(25.0, 117.0)	(26.0, 752.0)	(27.0, 3236.0)	(28.0, 10896.0)	(29.0, 28924.0)	(30.0, 64976.0)	(31.0, 123410.0)	(32.0, 209712.0)	(33.0, 328048.0)	(34.0, 500226.0)	(35.0, 853261.0)	(36.0, 2550042.0)	(37.0, 59053.0)	
MSM9VZL5_R1	(24.0, 2.0)	(25.0, 8.0)	(26.0, 42.0)	(27.0, 215.0)	(28.0, 765.0)	(29.0, 2457.0)	(30.0, 6362.0)	(31.0, 14907.0)	(32.0, 32047.0)	(33.0, 64209.0)	(34.0, 130324.0)	(35.0, 313616.0)	(36.0, 3094037.0)	(37.0, 1545986.0)		
MSM9VZL5_R2	(23.0, 1.0)	(24.0, 10.0)	(25.0, 146.0)	(26.0, 956.0)	(27.0, 4081.0)	(28.0, 13338.0)	(29.0, 33773.0)	(30.0, 73711.0)	(31.0, 136490.0)	(32.0, 224896.0)	(33.0, 347088.0)	(34.0, 528895.0)	(35.0, 905562.0)	(36.0, 2868662.0)	(37.0, 67368.0)	
MSM9VZL9_R1	(24.0, 1.0)	(25.0, 11.0)	(26.0, 68.0)	(27.0, 337.0)	(28.0, 1316.0)	(29.0, 4525.0)	(30.0, 11997.0)	(31.0, 28790.0)	(32.0, 60737.0)	(33.0, 120020.0)	(34.0, 234690.0)	(35.0, 538261.0)	(36.0, 4512079.0)	(37.0, 1958967.0)		
MSM9VZL9_R2	(23.0, 2.0)	(24.0, 20.0)	(25.0, 171.0)	(26.0, 1136.0)	(27.0, 4901.0)	(28.0, 16201.0)	(29.0, 42839.0)	(30.0, 93239.0)	(31.0, 175891.0)	(32.0, 297732.0)	(33.0, 465683.0)	(34.0, 722259.0)	(35.0, 1260408.0)	(36.0, 4236952.0)	(37.0, 154365.0)	
PSM7J14X_R1	(25.0, 1.0)	(26.0, 12.0)	(27.0, 70.0)	(28.0, 253.0)	(29.0, 1007.0)	(30.0, 2807.0)	(31.0, 8058.0)	(32.0, 20824.0)	(33.0, 53243.0)	(34.0, 143779.0)	(35.0, 425056.0)	(36.0, 2160524.0)	(37.0, 474998.0)			
PSM7J14X_R2	(23.0, 1.0)	(24.0, 27.0)	(25.0, 323.0)	(26.0, 1844.0)	(27.0, 7028.0)	(28.0, 20896.0)	(29.0, 48157.0)	(30.0, 94433.0)	(31.0, 161113.0)	(32.0, 243998.0)	(33.0, 344563.0)	(34.0, 470401.0)	(35.0, 672479.0)	(36.0, 1204826.0)	(37.0, 20543.0)	
PSM7J15O_R1	(24.0, 2.0)	(25.0, 22.0)	(26.0, 130.0)	(27.0, 476.0)	(28.0, 1696.0)	(29.0, 4888.0)	(30.0, 12546.0)	(31.0, 27944.0)	(32.0, 57453.0)	(33.0, 108471.0)	(34.0, 209897.0)	(35.0, 471526.0)	(36.0, 3597281.0)	(37.0, 1344607.0)		
PSM7J15O_R2	(23.0, 2.0)	(24.0, 21.0)	(25.0, 186.0)	(26.0, 1147.0)	(27.0, 4926.0)	(28.0, 16338.0)	(29.0, 42314.0)	(30.0, 91325.0)	(31.0, 170248.0)	(32.0, 283923.0)	(33.0, 438640.0)	(34.0, 664937.0)	(35.0, 1112971.0)	(36.0, 2966638.0)	(37.0, 43323.0)	
PSM7J16U_R1	(25.0, 1.0)	(26.0, 29.0)	(27.0, 106.0)	(28.0, 465.0)	(29.0, 1630.0)	(30.0, 4457.0)	(31.0, 11398.0)	(32.0, 27452.0)	(33.0, 64354.0)	(34.0, 152911.0)	(35.0, 423854.0)	(36.0, 2591002.0)	(37.0, 524962.0)			
PSM7J16U_R2	(22.0, 3.0)	(23.0, 12.0)	(24.0, 227.0)	(25.0, 1915.0)	(26.0, 8927.0)	(27.0, 30089.0)	(28.0, 76608.0)	(29.0, 159036.0)	(30.0, 281563.0)	(31.0, 433538.0)	(32.0, 592067.0)	(33.0, 704493.0)	(34.0, 711122.0)	(35.0, 560509.0)	(36.0, 242365.0)	(37.0, 147.0)
