Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSM6J2JN_R1	(1.0, 12.978489308389667)	(2.0, 6.777069877802067)	(3.0, 3.4589388696858006)	(4.0, 1.8929569003711895)	(5.0, 1.1912150543142346)	(6.0, 0.8544510996711064)	(7.0, 0.7092217920287786)	(8.0, 0.5786474619349813)	(9.0, 0.46932603157050157)	('>10', 7.573571313624035)	('>50', 3.7521519820220064)	('>100', 9.651369005766933)	('>500', 5.041854088318308)	('>1k', 12.107134364178393)	('>5k', 4.9296413953318785)	('>10k+', 28.03396145499009)
MSM6J2JN_R2	(1.0, 16.307151226277057)	(2.0, 6.228428179651069)	(3.0, 3.273217522241023)	(4.0, 1.8448279401493253)	(5.0, 1.2438358905750508)	(6.0, 0.9070028935786605)	(7.0, 0.7332716312847049)	(8.0, 0.6438770268601414)	(9.0, 0.5587639770735094)	('>10', 8.504007591374265)	('>50', 3.889745545358869)	('>100', 9.650565954526654)	('>500', 5.096012654850218)	('>1k', 10.86040556394675)	('>5k', 3.3242120616875863)	('>10k+', 26.934674340565152)
MSM6J2JZ_R1	(1.0, 7.8665887382604796)	(2.0, 7.003043816463758)	(3.0, 5.492107268776058)	(4.0, 3.9135846180045784)	(5.0, 2.666275732794527)	(6.0, 1.8350931007773297)	(7.0, 1.37056713437039)	(8.0, 1.0313819889533609)	(9.0, 0.8836763505474512)	('>10', 11.153594744106194)	('>50', 4.661388367377562)	('>100', 11.470415047110748)	('>500', 4.660250812597806)	('>1k', 12.35001553657979)	('>5k', 5.815598980992984)	('>10k+', 17.826417762286994)
MSM6J2JZ_R2	(1.0, 9.378933543159931)	(2.0, 6.819841029299842)	(3.0, 5.263186924795242)	(4.0, 3.7467450910011384)	(5.0, 2.6084527839982212)	(6.0, 1.7804548714352522)	(7.0, 1.3329389887749388)	(8.0, 1.0433989814441669)	(9.0, 0.8966637987311512)	('>10', 12.590425232364547)	('>50', 5.081960093802771)	('>100', 12.522172040625543)	('>500', 5.741522044090086)	('>1k', 12.48521370757339)	('>5k', 4.552933335724603)	('>10k+', 14.1551575331792)
MSM6J2M3_R1	(1.0, 20.727708585237036)	(2.0, 15.741828178433966)	(3.0, 10.273654496371115)	(4.0, 6.353850437190636)	(5.0, 3.807235600131969)	(6.0, 2.3689363269982286)	(7.0, 1.581559404325129)	(8.0, 1.190691536206693)	(9.0, 0.8919116199647695)	('>10', 9.672863797159623)	('>50', 3.41136202028688)	('>100', 7.981625068513918)	('>500', 3.507846802646273)	('>1k', 7.514444991121488)	('>5k', 2.4106123388106595)	('>10k+', 2.563868796601592)
MSM6J2M3_R2	(1.0, 27.791050354892505)	(2.0, 14.083201868693909)	(3.0, 9.199573318305811)	(4.0, 5.649785288590134)	(5.0, 3.3190090733318556)	(6.0, 2.1618073230158794)	(7.0, 1.4946116791616348)	(8.0, 1.1860260096513122)	(9.0, 0.9259597959544323)	('>10', 10.385280411402665)	('>50', 3.5852402178577596)	('>100', 7.0204514352336895)	('>500', 2.5198555479716065)	('>1k', 4.404816650612517)	('>5k', 2.330360639223181)	('>10k+', 3.9429703861011385)
MSM6J2PS_R1	(1.0, 16.70138969727114)	(2.0, 9.133803094800374)	(3.0, 4.461242679290573)	(4.0, 2.324772654999766)	(5.0, 1.4868477089630259)	(6.0, 1.1167790769953643)	(7.0, 0.9168583019742386)	(8.0, 0.7846328537343468)	(9.0, 0.7278372099216655)	('>10', 12.68002234367375)	('>50', 6.308842648504166)	('>100', 13.55391888173744)	('>500', 5.361820968269384)	('>1k', 13.196802797547388)	('>5k', 5.403802527036142)	('>10k+', 5.840626555281192)
MSM6J2PS_R2	(1.0, 17.30733243236986)	(2.0, 8.851832002219313)	(3.0, 4.309488935132771)	(4.0, 2.2521879921651897)	(5.0, 1.474900397043131)	(6.0, 1.1383374359260796)	(7.0, 0.8717091171865312)	(8.0, 0.7702830576671561)	(9.0, 0.677700076250907)	('>10', 12.192900484666694)	('>50', 6.338683677608403)	('>100', 17.502983487265446)	('>500', 7.544295123481513)	('>1k', 10.974790626914123)	('>5k', 3.807097730869379)	('>10k+', 3.985477423233505)
MSM79H54_R1	(1.0, 22.51741742693078)	(2.0, 12.58522259103508)	(3.0, 6.8846685558364)	(4.0, 3.9228188291151405)	(5.0, 2.2296955098688)	(6.0, 1.5467478917957145)	(7.0, 1.2197474693463046)	(8.0, 0.9483456468412798)	(9.0, 0.8811093307826917)	('>10', 11.386616950014913)	('>50', 4.531131413013549)	('>100', 11.286804513932383)	('>500', 5.125810617065767)	('>1k', 9.300722306397141)	('>5k', 2.6773520142022047)	('>10k+', 2.9557889338218453)
MSM79H54_R2	(1.0, 28.247747263362427)	(2.0, 11.213223627397548)	(3.0, 6.146496546480352)	(4.0, 3.544508507730303)	(5.0, 2.1728435246901054)	(6.0, 1.5905849559925505)	(7.0, 1.1837687784206474)	(8.0, 0.9223266078425577)	(9.0, 0.848335122020339)	('>10', 11.742872581011856)	('>50', 4.564085218487478)	('>100', 10.296569293848465)	('>500', 4.056871431273424)	('>1k', 9.456393511316595)	('>5k', 3.4248535661908273)	('>10k+', 0.5885194639345486)
