Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
MSM6J2HP_R1	(50, 9534.0)	(51, 9856.0)	(52, 10098.0)	(53, 11792.0)	(54, 13890.0)	(55, 11762.0)	(56, 11823.0)	(57, 11605.0)	(58, 11316.0)	(59, 11496.0)	(60, 11876.0)	(61, 14585.0)	(62, 15509.0)	(63, 13865.0)	(64, 13845.0)	(65, 13734.0)	(66, 14345.0)	(67, 16453.0)	(68, 17292.0)	(69, 28325.0)	(70, 19450.0)	(71, 19823.0)	(72, 22310.0)	(73, 20883.0)	(74, 20485.0)	(75, 18260.0)	(76, 2801.0)	(77, 2855.0)	(78, 2859.0)	(79, 2915.0)	(80, 3067.0)	(81, 3105.0)	(82, 3293.0)	(83, 3625.0)	(84, 3880.0)	(85, 4139.0)	(86, 5102.0)	(87, 6118.0)	(88, 8731.0)	(89, 16606.0)	(90, 47652.0)	(91, 232289.0)	(92, 4231307.0)
MSM6J2HP_R2	(50, 24526.0)	(52, 22989.0)	(54, 28930.0)	(56, 39507.0)	(58, 37998.0)	(60, 35680.0)	(62, 35719.0)	(64, 40948.0)	(66, 43845.0)	(68, 39838.0)	(70, 42367.0)	(72, 49356.0)	(74, 68493.0)	(76, 56303.0)	(78, 55251.0)	(80, 42246.0)	(82, 23586.0)	(84, 25623.0)	(86, 26861.0)	(88, 30917.0)	(90, 46864.0)	(92, 90203.0)	(94, 479393.0)	(96, 1945185.0)	(98, 1615544.0)	(100, 26384.0)																	
MSM6J2JN_R1	(50, 24042.0)	(51, 21839.0)	(52, 24303.0)	(53, 29018.0)	(54, 35652.0)	(55, 61176.0)	(56, 179733.0)	(57, 1012353.0)	(58, 39902.0)	(59, 28040.0)	(60, 29040.0)	(61, 40717.0)	(62, 42184.0)	(63, 66360.0)	(64, 80000.0)	(65, 36570.0)	(66, 32301.0)	(67, 49871.0)	(68, 59237.0)	(69, 94323.0)	(70, 33976.0)	(71, 30946.0)	(72, 42978.0)	(73, 37567.0)	(74, 32553.0)	(75, 30883.0)	(76, 2543.0)	(77, 2584.0)	(78, 2772.0)	(79, 2925.0)	(80, 2916.0)	(81, 3086.0)	(82, 3119.0)	(83, 3363.0)	(84, 3871.0)	(85, 4245.0)	(86, 5141.0)	(87, 5927.0)	(88, 9528.0)	(89, 17041.0)	(90, 37072.0)	(91, 192253.0)	(92, 3120344.0)
MSM6J2JN_R2	(50, 71934.0)	(52, 70975.0)	(54, 78990.0)	(56, 97337.0)	(58, 132094.0)	(60, 200209.0)	(62, 1093958.0)	(64, 96092.0)	(66, 108663.0)	(68, 159592.0)	(70, 91062.0)	(72, 103895.0)	(74, 174019.0)	(76, 96825.0)	(78, 83567.0)	(80, 62034.0)	(82, 30123.0)	(84, 28517.0)	(86, 27081.0)	(88, 30517.0)	(90, 35859.0)	(92, 72220.0)	(94, 378298.0)	(96, 1273243.0)	(98, 1003545.0)	(100, 13645.0)																	
MSM6J2JZ_R1	(50, 17549.0)	(51, 15885.0)	(52, 15440.0)	(53, 14245.0)	(54, 17538.0)	(55, 17195.0)	(56, 18376.0)	(57, 16667.0)	(58, 18333.0)	(59, 17226.0)	(60, 17656.0)	(61, 24755.0)	(62, 25890.0)	(63, 20082.0)	(64, 23815.0)	(65, 21851.0)	(66, 25486.0)	(67, 23756.0)	(68, 20855.0)	(69, 26865.0)	(70, 21520.0)	(71, 20895.0)	(72, 23223.0)	(73, 24782.0)	(74, 23286.0)	(75, 21590.0)	(76, 3188.0)	(77, 3269.0)	(78, 3346.0)	(79, 3341.0)	(80, 3611.0)	(81, 3712.0)	(82, 3958.0)	(83, 4249.0)	(84, 4430.0)	(85, 5129.0)	(86, 6004.0)	(87, 7617.0)	(88, 10676.0)	(89, 19948.0)	(90, 60354.0)	(91, 321799.0)	(92, 5910799.0)
MSM6J2JZ_R2	(50, 35063.0)	(52, 39253.0)	(54, 47378.0)	(56, 62671.0)	(58, 61067.0)	(60, 61215.0)	(62, 57994.0)	(64, 61990.0)	(66, 73288.0)	(68, 63332.0)	(70, 68309.0)	(72, 67281.0)	(74, 73430.0)	(76, 70780.0)	(78, 70165.0)	(80, 54886.0)	(82, 34175.0)	(84, 36049.0)	(86, 38358.0)	(88, 44599.0)	(90, 63770.0)	(92, 111777.0)	(94, 630721.0)	(96, 2715830.0)	(98, 2226161.0)	(100, 40649.0)																	
MSM6J2M3_R1	(50, 7106.0)	(51, 7463.0)	(52, 7752.0)	(53, 7421.0)	(54, 8155.0)	(55, 8031.0)	(56, 8634.0)	(57, 8612.0)	(58, 8849.0)	(59, 8667.0)	(60, 8996.0)	(61, 9295.0)	(62, 9750.0)	(63, 9502.0)	(64, 9671.0)	(65, 9893.0)	(66, 10578.0)	(67, 11961.0)	(68, 12038.0)	(69, 12290.0)	(70, 11799.0)	(71, 12191.0)	(72, 13590.0)	(73, 12935.0)	(74, 13170.0)	(75, 13782.0)	(76, 6725.0)	(77, 6831.0)	(78, 6839.0)	(79, 7102.0)	(80, 7462.0)	(81, 7864.0)	(82, 8126.0)	(83, 9139.0)	(84, 9775.0)	(85, 11102.0)	(86, 12787.0)	(87, 15636.0)	(88, 22262.0)	(89, 42067.0)	(90, 78177.0)	(91, 316759.0)	(92, 3489477.0)
MSM6J2M3_R2	(50, 51420.0)	(52, 52243.0)	(54, 50576.0)	(56, 51818.0)	(58, 49931.0)	(60, 47931.0)	(62, 44650.0)	(64, 44801.0)	(66, 43225.0)	(68, 42412.0)	(70, 43258.0)	(72, 45123.0)	(74, 46769.0)	(76, 47139.0)	(78, 46812.0)	(80, 44786.0)	(82, 36475.0)	(84, 35122.0)	(86, 35177.0)	(88, 44641.0)	(90, 48041.0)	(92, 84526.0)	(94, 344270.0)	(96, 1637127.0)	(98, 1278629.0)	(100, 23359.0)																	
MSM6J2PS_R1	(50, 18803.0)	(51, 19388.0)	(52, 19957.0)	(53, 22406.0)	(54, 25482.0)	(55, 23033.0)	(56, 28981.0)	(57, 23135.0)	(58, 23500.0)	(59, 22919.0)	(60, 24427.0)	(61, 29373.0)	(62, 29197.0)	(63, 27510.0)	(64, 28609.0)	(65, 26599.0)	(66, 29086.0)	(67, 30536.0)	(68, 29157.0)	(69, 36865.0)	(70, 35600.0)	(71, 32328.0)	(72, 35659.0)	(73, 37028.0)	(74, 37247.0)	(75, 32532.0)	(76, 2733.0)	(77, 2769.0)	(78, 2880.0)	(79, 2999.0)	(80, 3022.0)	(81, 3110.0)	(82, 3272.0)	(83, 3532.0)	(84, 3761.0)	(85, 4244.0)	(86, 5326.0)	(87, 9536.0)	(88, 14923.0)	(89, 31246.0)	(90, 41847.0)	(91, 184245.0)	(92, 2856064.0)
MSM6J2PS_R2	(50, 19726.0)	(52, 20485.0)	(54, 35038.0)	(56, 55230.0)	(58, 57778.0)	(60, 57832.0)	(62, 53232.0)	(64, 63068.0)	(66, 63690.0)	(68, 62933.0)	(70, 62886.0)	(72, 68119.0)	(74, 92569.0)	(76, 77243.0)	(78, 72224.0)	(80, 53806.0)	(82, 17809.0)	(84, 19262.0)	(86, 24312.0)	(88, 45934.0)	(90, 37085.0)	(92, 68674.0)	(94, 342117.0)	(96, 1331075.0)	(98, 1086048.0)	(100, 16691.0)																	
MSM79H54_R1	(50, 8723.0)	(51, 9056.0)	(52, 9229.0)	(53, 8938.0)	(54, 9673.0)	(55, 10091.0)	(56, 14218.0)	(57, 10754.0)	(58, 10827.0)	(59, 10047.0)	(60, 10517.0)	(61, 11044.0)	(62, 11213.0)	(63, 12128.0)	(64, 12362.0)	(65, 11490.0)	(66, 13083.0)	(67, 13298.0)	(68, 13665.0)	(69, 14932.0)	(70, 14150.0)	(71, 14038.0)	(72, 14788.0)	(73, 17343.0)	(74, 16519.0)	(75, 18284.0)	(76, 4406.0)	(77, 4250.0)	(78, 4502.0)	(79, 4662.0)	(80, 4820.0)	(81, 4976.0)	(82, 5202.0)	(83, 5839.0)	(84, 6020.0)	(85, 6568.0)	(86, 7468.0)	(87, 9136.0)	(88, 12775.0)	(89, 25127.0)	(90, 47201.0)	(91, 163331.0)	(92, 1883646.0)
MSM79H54_R2	(50, 30958.0)	(52, 29741.0)	(54, 32991.0)	(56, 38725.0)	(58, 38704.0)	(60, 40169.0)	(62, 36411.0)	(64, 36444.0)	(66, 36699.0)	(68, 37176.0)	(70, 38157.0)	(72, 38000.0)	(74, 43950.0)	(76, 40677.0)	(78, 44497.0)	(80, 39493.0)	(82, 22036.0)	(84, 21325.0)	(86, 22785.0)	(88, 30037.0)	(90, 32465.0)	(92, 49820.0)	(94, 204866.0)	(96, 850032.0)	(98, 671374.0)	(100, 12807.0)																	
MSM79H5E_R1	(50, 176.0)	(51, 168.0)	(52, 159.0)	(53, 181.0)	(54, 207.0)	(55, 139.0)	(56, 183.0)	(57, 194.0)	(58, 234.0)	(59, 190.0)	(60, 185.0)	(61, 222.0)	(62, 212.0)	(63, 265.0)	(64, 198.0)	(65, 247.0)	(66, 233.0)	(67, 297.0)	(68, 245.0)	(69, 323.0)	(70, 289.0)	(71, 334.0)	(72, 282.0)	(73, 279.0)	(74, 287.0)	(75, 284.0)	(76, 138.0)	(77, 132.0)	(78, 142.0)	(79, 146.0)	(80, 148.0)	(81, 170.0)	(82, 174.0)	(83, 156.0)	(84, 195.0)	(85, 225.0)	(86, 267.0)	(87, 272.0)	(88, 497.0)	(89, 892.0)	(90, 1868.0)	(91, 8441.0)	(92, 111643.0)
MSM79H5E_R2	(50, 1815.0)	(52, 1643.0)	(54, 2092.0)	(56, 1750.0)	(58, 1486.0)	(60, 1397.0)	(62, 1334.0)	(64, 1390.0)	(66, 1345.0)	(68, 1246.0)	(70, 1283.0)	(72, 1310.0)	(74, 1502.0)	(76, 1591.0)	(78, 1474.0)	(80, 1420.0)	(82, 1328.0)	(84, 1356.0)	(86, 1212.0)	(88, 1348.0)	(90, 1523.0)	(92, 2554.0)	(94, 12819.0)	(96, 44618.0)	(98, 40035.0)	(100, 648.0)																	
MSM79H81_R1	(50, 2312.0)	(51, 2239.0)	(52, 2241.0)	(53, 2310.0)	(54, 2371.0)	(55, 2410.0)	(56, 2645.0)	(57, 2751.0)	(58, 2658.0)	(59, 2789.0)	(60, 2927.0)	(61, 3174.0)	(62, 3391.0)	(63, 3192.0)	(64, 3384.0)	(65, 3312.0)	(66, 3520.0)	(67, 3535.0)	(68, 3533.0)	(69, 3650.0)	(70, 3805.0)	(71, 4182.0)	(72, 4321.0)	(73, 4483.0)	(74, 4145.0)	(75, 4219.0)	(76, 2951.0)	(77, 2947.0)	(78, 3038.0)	(79, 3223.0)	(80, 3328.0)	(81, 3650.0)	(82, 3673.0)	(83, 4218.0)	(84, 4543.0)	(85, 4916.0)	(86, 5695.0)	(87, 7141.0)	(88, 9706.0)	(89, 17199.0)	(90, 36951.0)	(91, 163463.0)	(92, 1939380.0)
MSM79H81_R2	(50, 29756.0)	(52, 28442.0)	(54, 28096.0)	(56, 25906.0)	(58, 25102.0)	(60, 23994.0)	(62, 25272.0)	(64, 27156.0)	(66, 26813.0)	(68, 24080.0)	(70, 24133.0)	(72, 26511.0)	(74, 27949.0)	(76, 27092.0)	(78, 26303.0)	(80, 26107.0)	(82, 23894.0)	(84, 22380.0)	(86, 21778.0)	(88, 23017.0)	(90, 29108.0)	(92, 92810.0)	(94, 426450.0)	(96, 899289.0)	(98, 319362.0)	(100, 18721.0)																	
MSM79H8D_R1	(50, 9885.0)	(51, 9466.0)	(52, 9992.0)	(53, 10569.0)	(54, 10711.0)	(55, 11748.0)	(56, 13640.0)	(57, 11441.0)	(58, 12129.0)	(59, 12433.0)	(60, 12757.0)	(61, 15288.0)	(62, 16271.0)	(63, 15687.0)	(64, 17303.0)	(65, 15648.0)	(66, 15757.0)	(67, 17527.0)	(68, 17435.0)	(69, 17570.0)	(70, 17958.0)	(71, 19391.0)	(72, 21797.0)	(73, 23964.0)	(74, 22647.0)	(75, 21295.0)	(76, 2982.0)	(77, 2972.0)	(78, 3101.0)	(79, 3040.0)	(80, 3224.0)	(81, 3311.0)	(82, 3590.0)	(83, 3623.0)	(84, 3944.0)	(85, 4558.0)	(86, 5318.0)	(87, 6807.0)	(88, 9188.0)	(89, 17703.0)	(90, 54303.0)	(91, 272584.0)	(92, 5943061.0)
MSM79H8D_R2	(50, 30200.0)	(52, 30004.0)	(54, 35027.0)	(56, 42029.0)	(58, 42735.0)	(60, 44009.0)	(62, 44309.0)	(64, 47326.0)	(66, 52021.0)	(68, 51508.0)	(70, 53653.0)	(72, 55443.0)	(74, 63009.0)	(76, 62516.0)	(78, 65751.0)	(80, 54348.0)	(82, 31737.0)	(84, 34592.0)	(86, 36501.0)	(88, 43492.0)	(90, 63445.0)	(92, 144398.0)	(94, 732297.0)	(96, 2628426.0)	(98, 2221139.0)	(100, 33703.0)																	
