Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSM6J2PS_R1	(24.0, 1.0)	(25.0, 25.0)	(26.0, 140.0)	(27.0, 751.0)	(28.0, 2681.0)	(29.0, 7906.0)	(30.0, 20295.0)	(31.0, 46525.0)	(32.0, 95640.0)	(33.0, 185505.0)	(34.0, 358041.0)	(35.0, 808594.0)	(36.0, 6163932.0)	(37.0, 2251820.0)		
MSM6J2PS_R2	(24.0, 12.0)	(25.0, 155.0)	(26.0, 1039.0)	(27.0, 4920.0)	(28.0, 17376.0)	(29.0, 47188.0)	(30.0, 108694.0)	(31.0, 215784.0)	(32.0, 379908.0)	(33.0, 614972.0)	(34.0, 982408.0)	(35.0, 1755350.0)	(36.0, 5650543.0)	(37.0, 163507.0)		
MSM79H54_R1	(25.0, 5.0)	(26.0, 28.0)	(27.0, 179.0)	(28.0, 803.0)	(29.0, 2770.0)	(30.0, 8084.0)	(31.0, 20677.0)	(32.0, 48773.0)	(33.0, 110006.0)	(34.0, 242812.0)	(35.0, 559025.0)	(36.0, 2339882.0)	(37.0, 381030.0)			
MSM79H54_R2	(23.0, 7.0)	(24.0, 111.0)	(25.0, 946.0)	(26.0, 5066.0)	(27.0, 19174.0)	(28.0, 55435.0)	(29.0, 129167.0)	(30.0, 250114.0)	(31.0, 409080.0)	(32.0, 577886.0)	(33.0, 706737.0)	(34.0, 730253.0)	(35.0, 584057.0)	(36.0, 245755.0)	(37.0, 286.0)	
MSM79H5E_R1	(26.0, 1.0)	(27.0, 6.0)	(28.0, 35.0)	(29.0, 116.0)	(30.0, 317.0)	(31.0, 792.0)	(32.0, 1754.0)	(33.0, 4100.0)	(34.0, 9322.0)	(35.0, 24305.0)	(36.0, 131127.0)	(37.0, 22124.0)				
MSM79H5E_R2	(24.0, 2.0)	(25.0, 33.0)	(26.0, 243.0)	(27.0, 814.0)	(28.0, 2512.0)	(29.0, 5995.0)	(30.0, 12141.0)	(31.0, 20278.0)	(32.0, 29157.0)	(33.0, 36995.0)	(34.0, 39562.0)	(35.0, 32151.0)	(36.0, 14107.0)	(37.0, 9.0)		
MSM79H81_R1	(25.0, 3.0)	(26.0, 7.0)	(27.0, 57.0)	(28.0, 347.0)	(29.0, 1253.0)	(30.0, 3888.0)	(31.0, 10666.0)	(32.0, 26783.0)	(33.0, 65729.0)	(34.0, 158691.0)	(35.0, 421506.0)	(36.0, 2000342.0)	(37.0, 263457.0)			
MSM79H81_R2	(23.0, 11.0)	(24.0, 143.0)	(25.0, 1165.0)	(26.0, 5694.0)	(27.0, 20361.0)	(28.0, 56153.0)	(29.0, 123483.0)	(30.0, 227018.0)	(31.0, 354821.0)	(32.0, 476654.0)	(33.0, 555209.0)	(34.0, 547499.0)	(35.0, 417695.0)	(36.0, 166634.0)	(37.0, 189.0)	
MSM79H8D_R1	(24.0, 2.0)	(25.0, 4.0)	(26.0, 46.0)	(27.0, 317.0)	(28.0, 1392.0)	(29.0, 4442.0)	(30.0, 12718.0)	(31.0, 31036.0)	(32.0, 67721.0)	(33.0, 139475.0)	(34.0, 286376.0)	(35.0, 693741.0)	(36.0, 7107949.0)	(37.0, 3493270.0)		
MSM79H8D_R2	(24.0, 25.0)	(25.0, 211.0)	(26.0, 1558.0)	(27.0, 7218.0)	(28.0, 24263.0)	(29.0, 66307.0)	(30.0, 149289.0)	(31.0, 289307.0)	(32.0, 493049.0)	(33.0, 781637.0)	(34.0, 1209781.0)	(35.0, 2100317.0)	(36.0, 6551308.0)	(37.0, 164219.0)		
