Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSM6J2JN_R1	(1.0, 5.354331625361419)	(2.0, 2.81331483190296)	(3.0, 1.5315910111419413)	(4.0, 0.9019550532073657)	(5.0, 0.6099167640451253)	(6.0, 0.4722268867803349)	(7.0, 0.38841189162949297)	(8.0, 0.34595014171496136)	(9.0, 0.30142362800666966)	('>10', 5.480955094499931)	('>50', 3.016255628220332)	('>100', 9.179279657825086)	('>500', 5.056337339246714)	('>1k', 12.497937109620308)	('>5k', 5.2666671318661145)	('>10k+', 46.783446204931266)
MSM6J2JN_R2	(1.0, 7.451390962721832)	(2.0, 2.870858908856765)	(3.0, 1.5810163857625767)	(4.0, 0.9688988194959206)	(5.0, 0.690420997068778)	(6.0, 0.5551704812827055)	(7.0, 0.46243287432056157)	(8.0, 0.3918555983785715)	(9.0, 0.3469241068624321)	('>10', 6.160556355768674)	('>50', 3.1577346154807984)	('>100', 9.462590060334652)	('>500', 4.927424569050472)	('>1k', 13.227236547725008)	('>5k', 5.877534648032599)	('>10k+', 41.86795406885762)
MSM6J2JZ_R1	(1.0, 4.58938955601437)	(2.0, 4.016127203986447)	(3.0, 3.1844299302200896)	(4.0, 2.3306540782086045)	(5.0, 1.6000846863361229)	(6.0, 1.1349543186118525)	(7.0, 0.859293268953527)	(8.0, 0.6585165691056051)	(9.0, 0.5647392410906378)	('>10', 8.332219057547425)	('>50', 3.8759000487963844)	('>100', 10.159262898144592)	('>500', 4.910913725377155)	('>1k', 12.212201596497584)	('>5k', 5.224649117776165)	('>10k+', 36.346664703333445)
MSM6J2JZ_R2	(1.0, 5.535739851769195)	(2.0, 3.912365183250624)	(3.0, 3.051608188593658)	(4.0, 2.178081016282048)	(5.0, 1.5762548517238424)	(6.0, 1.1070756726408149)	(7.0, 0.855541444620574)	(8.0, 0.6819154626553612)	(9.0, 0.5799411475446969)	('>10', 8.935234359632926)	('>50', 4.010329637120012)	('>100', 10.98850735606366)	('>500', 5.527184244908579)	('>1k', 12.464622131239157)	('>5k', 5.963221179728398)	('>10k+', 32.63237827222641)
MSM6J2M3_R1	(1.0, 18.289139606175723)	(2.0, 13.883712043459528)	(3.0, 9.270694175440616)	(4.0, 5.821007260241147)	(5.0, 3.6115484933467097)	(6.0, 2.2893916456302827)	(7.0, 1.6406805066425039)	(8.0, 1.2565119041633395)	(9.0, 0.9674795021140447)	('>10', 12.038722233066999)	('>50', 4.83984783300982)	('>100', 10.233583405614471)	('>500', 3.7453428225243184)	('>1k', 7.598040544311606)	('>5k', 2.1307447458100275)	('>10k+', 2.383553278448835)
MSM6J2M3_R2	(1.0, 25.0970826705028)	(2.0, 12.53637730566243)	(3.0, 8.289836046926649)	(4.0, 5.213899319905215)	(5.0, 3.163676838637266)	(6.0, 2.125875794425895)	(7.0, 1.5067673001349395)	(8.0, 1.2441049942638258)	(9.0, 0.9733726441785832)	('>10', 12.431617017273036)	('>50', 4.756586132955904)	('>100', 9.580784619485822)	('>500', 3.158723506959962)	('>1k', 4.4737453425046025)	('>5k', 2.1241090239653775)	('>10k+', 3.3234414422176313)
MSM6J2PS_R1	(1.0, 8.497144435351945)	(2.0, 4.660156864220061)	(3.0, 2.430004406095782)	(4.0, 1.3937823889418592)	(5.0, 1.0080861658187212)	(6.0, 0.80753300662916)	(7.0, 0.6990120659822401)	(8.0, 0.5833253962275609)	(9.0, 0.532345534136676)	('>10', 11.052400174740205)	('>50', 6.2589444399493726)	('>100', 17.923196710380758)	('>500', 7.938396994154077)	('>1k', 17.212865055933108)	('>5k', 6.929283769590865)	('>10k+', 12.073522591847556)
MSM6J2PS_R2	(1.0, 9.049237231409995)	(2.0, 4.539826679886192)	(3.0, 2.3826100822089717)	(4.0, 1.3665562216213976)	(5.0, 0.9580899417915983)	(6.0, 0.7739602155430937)	(7.0, 0.6622635025348442)	(8.0, 0.5665032876640326)	(9.0, 0.5262092731280142)	('>10', 9.976347261044202)	('>50', 5.883835318740264)	('>100', 19.03536932856113)	('>500', 10.011790417361501)	('>1k', 19.151235243619073)	('>5k', 5.399261210740454)	('>10k+', 9.716904784145262)
MSM79H54_R1	(1.0, 16.665505814685844)	(2.0, 9.680260945584383)	(3.0, 5.489178471531191)	(4.0, 3.3715144389112583)	(5.0, 2.09184004012298)	(6.0, 1.5120572357559854)	(7.0, 1.2161767320060062)	(8.0, 0.9590134050894974)	(9.0, 0.9298630548145335)	('>10', 13.50018857014195)	('>50', 5.805388034421823)	('>100', 14.004007257367693)	('>500', 5.714164850319922)	('>1k', 11.142477225629793)	('>5k', 3.299223053633714)	('>10k+', 4.619140869983437)
MSM79H54_R2	(1.0, 22.1372040022129)	(2.0, 8.82048584946345)	(3.0, 5.0556877989537234)	(4.0, 3.088468312423938)	(5.0, 1.9811723946384412)	(6.0, 1.5325566244410858)	(7.0, 1.1653032093809963)	(8.0, 0.9301672385420636)	(9.0, 0.846702171309571)	('>10', 12.989748906939438)	('>50', 5.798539009709995)	('>100', 14.01992599188318)	('>500', 5.589263302555265)	('>1k', 10.92124121955649)	('>5k', 3.9104095598562294)	('>10k+', 1.2131244081332186)
MSM79H5E_R1	(1.0, 12.708828396022659)	(2.0, 10.10933046046629)	(3.0, 7.453646668281795)	(4.0, 5.286625188789633)	(5.0, 3.4793993783473107)	(6.0, 2.520631549647163)	(7.0, 1.9304223217645453)	(8.0, 1.4598013391821607)	(9.0, 1.2989757679163294)	('>10', 15.408842313620175)	('>50', 6.5711678926180035)	('>100', 16.340805880442684)	('>500', 5.023221769184377)	('>1k', 10.408301073716874)	('>5k', 0.0)	('>10k+', 0.0)
MSM79H5E_R2	(1.0, 20.690828303238675)	(2.0, 11.008304166516321)	(3.0, 8.013443368264785)	(4.0, 5.6371424594972135)	(5.0, 3.827339316182042)	(6.0, 2.867025087758184)	(7.0, 2.1649596131938824)	(8.0, 1.7113490275723071)	(9.0, 1.4567085397347408)	('>10', 16.806272197279366)	('>50', 5.401058768344167)	('>100', 10.645931164593632)	('>500', 3.1618719684122083)	('>1k', 6.607766019412471)	('>5k', 0.0)	('>10k+', 0.0)
MSM79H81_R1	(1.0, 9.86599172754365)	(2.0, 10.281930809800526)	(3.0, 8.34401940752282)	(4.0, 5.755657593678527)	(5.0, 3.7036975529884644)	(6.0, 2.343359118599678)	(7.0, 1.566957844310092)	(8.0, 1.170628979207264)	(9.0, 0.9062403783556005)	('>10', 11.37639436822042)	('>50', 4.940645903883069)	('>100', 13.898935560438384)	('>500', 6.847566545286889)	('>1k', 10.946926716804743)	('>5k', 4.33961371712835)	('>10k+', 3.71143377623152)
MSM79H81_R2	(1.0, 16.563279706775635)	(2.0, 8.213048302100091)	(3.0, 6.456851738788387)	(4.0, 4.466476081636943)	(5.0, 2.9834153619246973)	(6.0, 1.9713555902142486)	(7.0, 1.4882839782799349)	(8.0, 1.1826433912130834)	(9.0, 0.9263301782638653)	('>10', 11.160207405287087)	('>50', 4.491729147462212)	('>100', 11.85257449779497)	('>500', 5.248241649774477)	('>1k', 11.446010229024967)	('>5k', 5.8301674058369075)	('>10k+', 5.7193853356224995)
MSM79H8D_R1	(1.0, 9.428051102762883)	(2.0, 6.8244215382435165)	(3.0, 4.1167718480069455)	(4.0, 2.434348860479154)	(5.0, 1.529567871749366)	(6.0, 1.0639885953580492)	(7.0, 0.8320041519568073)	(8.0, 0.6258203135603597)	(9.0, 0.5466586977772174)	('>10', 8.20677625166238)	('>50', 4.056509715720991)	('>100', 12.294623466824046)	('>500', 6.089138273211134)	('>1k', 15.036461129842001)	('>5k', 7.357673440272648)	('>10k+', 19.557184742572517)
MSM79H8D_R2	(1.0, 10.249461071772712)	(2.0, 6.533551252060053)	(3.0, 4.063079356544958)	(4.0, 2.4890312983238676)	(5.0, 1.6072053390911674)	(6.0, 1.1094973634404064)	(7.0, 0.8576766361531769)	(8.0, 0.7256949566249721)	(9.0, 0.5939360763018778)	('>10', 8.578355428961427)	('>50', 4.219458249598151)	('>100', 12.742200203468457)	('>500', 6.713071608331354)	('>1k', 17.173944768440432)	('>5k', 7.028844805524365)	('>10k+', 15.314991585362527)
MSM9VZFL_R1	(1.0, 7.453658626281169)	(2.0, 5.12780026248464)	(3.0, 3.100673905875184)	(4.0, 1.9329595947804628)	(5.0, 1.2985697036217234)	(6.0, 0.9590967945004919)	(7.0, 0.8002285179372733)	(8.0, 0.6555564311116538)	(9.0, 0.6170436263105675)	('>10', 10.326637190841973)	('>50', 5.362038248084647)	('>100', 14.679272488913936)	('>500', 7.226087371014373)	('>1k', 16.92563847173169)	('>5k', 7.331863514841998)	('>10k+', 16.202875251668235)
MSM9VZFL_R2	(1.0, 8.499622253869854)	(2.0, 5.043809515690003)	(3.0, 3.1537593581749124)	(4.0, 1.9916446999754367)	(5.0, 1.341513039797914)	(6.0, 1.0145069741746697)	(7.0, 0.8623334563806597)	(8.0, 0.7173758187849304)	(9.0, 0.6091047336948019)	('>10', 10.127338416391629)	('>50', 5.261988565580671)	('>100', 15.783616156023658)	('>500', 8.081798591272781)	('>1k', 17.526543422485044)	('>5k', 7.46173426119562)	('>10k+', 12.523310736507442)
MSM9VZHX_R1	(1.0, 7.214863344130425)	(2.0, 7.377373114165593)	(3.0, 6.441583287606316)	(4.0, 4.661614238937519)	(5.0, 3.0704331022988427)	(6.0, 2.0490735527429873)	(7.0, 1.47034378910735)	(8.0, 1.0040074153153002)	(9.0, 0.8721901751797543)	('>10', 9.81270863906467)	('>50', 4.15278155579812)	('>100', 12.871002664809492)	('>500', 7.079048927413334)	('>1k', 14.042395594179554)	('>5k', 4.45357864189371)	('>10k+', 13.42700195735705)
MSM9VZHX_R2	(1.0, 12.297945243233615)	(2.0, 6.017535875363118)	(3.0, 4.787648026398147)	(4.0, 3.549524780911304)	(5.0, 2.5304884147794304)	(6.0, 1.8303619963502116)	(7.0, 1.3039538408355946)	(8.0, 1.035679177860176)	(9.0, 0.8994906314314186)	('>10', 10.260185625251651)	('>50', 4.074186073848178)	('>100', 10.159699498742569)	('>500', 5.0574771181995795)	('>1k', 12.643464053883472)	('>5k', 6.031001433670291)	('>10k+', 17.521358209241182)
MSM9VZL5_R1	(1.0, 8.8343193696588)	(2.0, 6.486236396729726)	(3.0, 4.131956551095913)	(4.0, 2.4934262196260484)	(5.0, 1.5882526163182247)	(6.0, 1.03697321964979)	(7.0, 0.8045390665424805)	(8.0, 0.6559414612501208)	(9.0, 0.5544647973302185)	('>10', 9.37540944399668)	('>50', 5.125628495370728)	('>100', 14.57044414365921)	('>500', 7.183869416344402)	('>1k', 15.838647463363262)	('>5k', 5.35379902843236)	('>10k+', 15.966092310631991)
MSM9VZL5_R2	(1.0, 9.754029086146948)	(2.0, 6.276470934018809)	(3.0, 3.9775068366396558)	(4.0, 2.428246442272144)	(5.0, 1.6343281038123076)	(6.0, 1.0974633823698206)	(7.0, 0.8791717761205617)	(8.0, 0.7084718809487373)	(9.0, 0.599738333484349)	('>10', 9.265277040058253)	('>50', 4.9872918101680455)	('>100', 16.1914839725047)	('>500', 8.236798016445709)	('>1k', 17.969158948692947)	('>5k', 4.738777130358414)	('>10k+', 11.25578630595861)
MSM9VZL9_R1	(1.0, 8.768863471272848)	(2.0, 5.254968091103943)	(3.0, 2.7498700352841325)	(4.0, 1.5336056323855387)	(5.0, 0.9773124917859131)	(6.0, 0.7466317689274902)	(7.0, 0.5981134807074728)	(8.0, 0.5081062802232423)	(9.0, 0.4276153213477295)	('>10', 8.387318918328864)	('>50', 4.728182955451486)	('>100', 13.494532223541977)	('>500', 6.651932455072139)	('>1k', 15.240351869074004)	('>5k', 6.646857800267089)	('>10k+', 23.28573720522613)
MSM9VZL9_R2	(1.0, 9.431395796491564)	(2.0, 5.180290653908898)	(3.0, 2.7226707428893597)	(4.0, 1.582328870496969)	(5.0, 1.0213262099268088)	(6.0, 0.7740043127427358)	(7.0, 0.630450463635015)	(8.0, 0.5003285014533925)	(9.0, 0.4874188310687531)	('>10', 8.083628501764885)	('>50', 4.6518470934508604)	('>100', 14.858452280539867)	('>500', 8.177105493801646)	('>1k', 18.404909750146825)	('>5k', 6.770072838146316)	('>10k+', 16.7237696595361)
PSM7J14X_R1	(1.0, 10.652058846684225)	(2.0, 6.677975066202895)	(3.0, 3.8963079546647053)	(4.0, 2.2432107791698233)	(5.0, 1.4411152578226136)	(6.0, 1.0270117629775084)	(7.0, 0.836358242340868)	(8.0, 0.7058688461268796)	(9.0, 0.6337689363704055)	('>10', 10.725870595742585)	('>50', 5.353876504667681)	('>100', 14.122832146085324)	('>500', 6.209114860065782)	('>1k', 13.27394190604749)	('>5k', 5.550425806059039)	('>10k+', 16.650262488972174)
PSM7J14X_R2	(1.0, 13.45719813048945)	(2.0, 6.333535626514757)	(3.0, 3.6864254654306685)	(4.0, 2.2230377718476837)	(5.0, 1.4689494853526937)	(6.0, 1.0868938477228418)	(7.0, 0.8757094294610002)	(8.0, 0.7298966425420308)	(9.0, 0.6405132224545764)	('>10', 11.01965279384498)	('>50', 5.70999249651428)	('>100', 14.875837790458688)	('>500', 6.4252613166123655)	('>1k', 13.49417547120928)	('>5k', 5.033214859586158)	('>10k+', 12.939705649958535)
PSM7J15O_R1	(1.0, 4.842275104725513)	(2.0, 2.8964480335038663)	(3.0, 1.6986841232090908)	(4.0, 1.0419414201200814)	(5.0, 0.7396062519471042)	(6.0, 0.5803011749935526)	(7.0, 0.4782316369257015)	(8.0, 0.42546015114502805)	(9.0, 0.3570269708256169)	('>10', 5.917434248189309)	('>50', 3.1198578842653726)	('>100', 9.33274956543174)	('>500', 5.6750204337657815)	('>1k', 15.818484298127371)	('>5k', 7.321923706887922)	('>10k+', 39.754554995936935)
PSM7J15O_R2	(1.0, 5.321277935108266)	(2.0, 2.886122622929379)	(3.0, 1.7161919043402019)	(4.0, 1.078417567303015)	(5.0, 0.7758601835084717)	(6.0, 0.6132669932762057)	(7.0, 0.5197835868477927)	(8.0, 0.4383958005814155)	(9.0, 0.38901106512835876)	('>10', 6.08991330459477)	('>50', 2.9938543372038056)	('>100', 9.633725091054679)	('>500', 5.832975286747929)	('>1k', 17.54128268213624)	('>5k', 9.49544032762498)	('>10k+', 34.674481311614485)
PSM7J16U_R1	(1.0, 11.33833941331633)	(2.0, 8.204176668165687)	(3.0, 5.750785376883686)	(4.0, 3.8590545882289122)	(5.0, 2.6943414585279832)	(6.0, 1.9167076955520224)	(7.0, 1.3852661161413038)	(8.0, 1.1447266766367148)	(9.0, 0.9750426115300035)	('>10', 11.27204390709242)	('>50', 4.32378180041604)	('>100', 12.34505752886818)	('>500', 6.072018779042916)	('>1k', 13.230260028869942)	('>5k', 4.918454555575351)	('>10k+', 10.56994279515251)
PSM7J16U_R2	(1.0, 16.791579721019232)	(2.0, 7.235490539492841)	(3.0, 5.084141000089462)	(4.0, 3.413083997141506)	(5.0, 2.421461538469187)	(6.0, 1.775757691639555)	(7.0, 1.4352929983233969)	(8.0, 1.1935278787598425)	(9.0, 0.901280610997117)	('>10', 12.40644987005181)	('>50', 4.6619143968829055)	('>100', 11.528851976058982)	('>500', 5.019689601924634)	('>1k', 11.413323760732677)	('>5k', 3.8473592900770277)	('>10k+', 10.87079512833984)
